time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/std,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/loss,train/value_loss
2048,24,85,1,,,,,,,,,,,,,
4096,52,78,2,1.0021332502365112,0.9638671875,3262.0,47.31147471220174,10,-9.99993829727173,0.937367394566536,9.902994,-5.7e-05,0.2,0.00025,0.08623086661100388,7.54459775464511e-05
6144,78,78,3,0.9895511865615845,0.97734375,3262.0,-0.05150791081105126,20,-9.895485919713973,0.8631250411272049,433.87177,-5.7e-05,0.2,0.00025,-0.0887712836265564,0.0007492522551956427
8192,106,76,4,0.98678058385849,0.95966796875,3262.0,0.4528536944533698,30,-9.860124120116234,0.9695299472659826,16.983494,-4.1e-05,0.2,0.00025,4.42909574508667,5.090661416602415e-05
10240,135,75,5,0.9682890772819519,0.952685546875,3262.0,0.1973590655150474,40,-9.770074763894081,0.8632634729146957,96.38782,-3.8e-05,0.2,0.00025,-0.09458276629447937,0.0002976995185576925
12288,161,76,6,0.9531199336051941,0.964501953125,3262.0,0.18976813840563408,50,-9.6533432751894,0.8927508294582367,399.00464,-3.8e-05,0.2,0.00025,0.09002042561769485,0.00018420390268261144
14336,190,75,7,0.931547224521637,0.96044921875,3262.0,1.2577904963647597,60,-9.52440587580204,0.9195969477295876,71.89997,-3.6e-05,0.2,0.00025,0.06981540471315384,3.609078430315549e-05
16384,219,74,8,0.9304702877998352,0.99013671875,3262.0,0.19817936260369606,70,-9.42028646171093,0.9120627269148827,219.26964,-4.22e-05,0.2,0.00025,-0.12681253254413605,7.111675802775607e-05
18432,245,75,9,0.9130198359489441,0.956396484375,3262.0,0.11941073648922611,80,-9.355713495612145,0.879522942006588,52.613365,-4.22e-05,0.2,0.00025,0.7201406359672546,0.00010424860017224091
20480,274,74,10,0.9155510067939758,0.968896484375,3262.0,2.5774547351233195,90,-9.345692840218543,0.8981186002492905,152.83229,-4.2999999999999995e-05,0.2,0.00025,0.09708759933710098,5.680423732457029e-06
22528,300,74,11,0.9124590754508972,0.990625,3262.0,-0.037099892369587904,100,-9.289630275964736,0.9156682565808296,174.10306,-4.2999999999999995e-05,0.2,0.00025,0.0005783579545095563,3.3303032270737273e-05
24576,329,74,12,0.9044214487075806,0.96474609375,3262.0,0.5339464389893692,110,-9.254494482278824,0.9180023744702339,78.98476,-3.971428571428571e-05,0.2,0.00025,0.044777996838092804,1.5524763770713435e-05
26624,358,74,13,0.9439829587936401,0.965869140625,3262.0,0.7094416660751449,120,-9.414087235927582,0.860217347741127,45.92081,-3.9250000000000005e-05,0.2,0.00025,2.3758444786071777,3.29529382518956e-05
28672,384,74,14,0.9598572850227356,0.9818359375,3262.0,0.18173484650324098,130,-9.58206317126751,0.908445693552494,70.660645,-3.9250000000000005e-05,0.2,0.00025,-0.040357209742069244,1.7240613115632186e-05
