date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-04-05,-61,100,1,-7,-3,0,100,0,-21,100,2,-36,-38,-70,0,-100,-87,0,0,0,0,0,-3,100,0,-48,2,0,0
2023-04-06,100,55,0,0,-47,0,0,-30,0,-11,0,0,0,-100,0,0,0,0,0,0,0,-16,0,-38,0,-19,100,0,1
2023-04-10,-63,-16,100,-7,57,63,-37,0,78,26,-71,0,0,100,0,100,-100,1,-49,69,0,-7,-100,-39,0,-83,92,0,100
2023-04-11,-65,-100,-100,100,58,-63,29,0,83,-11,100,0,0,-100,54,-100,100,-33,-57,42,0,100,-100,70,-92,60,-99,0,100
2023-04-12,86,-100,100,-100,9,0,-45,100,-33,-67,-100,78,16,51,-41,100,97,-100,0,14,100,100,-24,-87,-54,-100,15,0,100
2023-04-13,79,100,-20,0,4,0,84,-76,-19,-100,-100,-78,-16,-58,100,-51,100,27,0,-10,-100,100,85,0,-45,47,3,0,40
2023-04-14,-100,-100,-59,48,100,0,9,100,-100,-42,48,0,0,-14,-100,-86,100,67,0,17,2,100,-10,-100,-44,90,-2,100,100
2023-04-17,31,100,-24,-48,100,0,61,-100,-9,-3,31,0,100,-35,-13,38,35,100,0,-12,55,100,100,-1,92,-100,-2,-56,11
2023-04-18,-100,-50,88,0,-100,0,100,-24,0,84,-65,0,61,90,0,-37,1,100,0,-3,-7,0,-100,-16,100,-99,92,1,0
2023-04-19,-7,-35,-18,0,100,100,-100,0,1,0,0,0,100,-26,0,0,-18,68,0,-47,100,-44,-46,0,-100,-100,-84,100,100
2023-04-20,0,0,72,0,-100,-100,-100,50,-1,-66,-15,100,-100,100,0,0,-74,0,1,-70,-4,100,-100,100,93,-46,87,100,0
2023-04-21,0,0,-100,0,-100,0,-66,-50,0,100,-66,-10,0,0,0,3,0,-100,0,0,-10,0,-6,0,91,100,1,-100,100
2023-04-24,0,0,0,54,100,0,-35,0,0,-46,0,-90,-35,4,100,0,100,0,0,0,0,-43,0,0,0,-48,0,0,-9
2023-04-25,0,0,0,0,0,0,0,0,0,100,-66,0,1,-45,0,-9,1,-4,-1,100,-8,0,0,0,10,-92,0,-65,-25
2023-04-26,100,0,0,100,-29,0,0,0,0,-6,0,52,-68,-89,-11,-71,0,0,0,0,-60,-100,0,100,-9,0,0,1,0
2023-04-27,-100,-14,-70,0,0,0,1,0,0,100,0,-52,94,-8,100,-33,-59,100,100,-89,0,0,0,0,-70,0,100,-81,-100
2023-04-28,0,-100,-47,-100,-36,83,49,0,100,-71,-46,0,80,5,100,0,100,-70,-78,81,-32,-100,100,64,-19,-95,-100,0,-53
2023-05-01,0,74,0,95,100,-83,-50,0,-33,-29,100,100,-89,0,-8,0,0,0,98,100,2,2,61,-19,0,0,0,0,-64
2023-05-02,100,61,-100,-50,0,100,0,100,-24,-71,99,-100,0,-31,0,100,-100,0,100,-60,-38,0,-49,0,-65,100,-100,0,-1
2023-05-03,100,-100,-45,-5,-100,100,0,0,100,0,-36,18,0,0,-41,-49,83,77,90,-16,0,0,-100,-44,0,100,-100,0,-91
2023-05-04,55,40,38,100,10,100,0,-29,98,-24,32,30,73,100,-54,-51,-67,-100,-100,-100,37,100,53,-100,-100,59,-37,0,-20
2023-05-05,-12,-100,63,-100,72,6,0,-23,-100,80,-6,-48,19,-34,3,0,-48,100,-71,-11,60,35,-25,-100,-100,-55,0,91,-100
2023-05-08,40,-91,-94,-94,-59,97,27,-21,69,-100,100,0,-100,47,94,10,-100,82,81,29,-48,-39,-29,-1,-11,30,22,100,5
2023-05-09,63,-1,-7,0,-33,-61,78,-5,-9,68,100,100,-57,-60,-100,0,100,0,25,-34,-49,100,-11,29,91,-1,100,0,-100
2023-05-10,-19,24,0,0,100,-80,100,-22,-12,0,-17,0,-79,0,100,-10,1,80,-100,0,0,0,100,-29,-32,-37,-20,-96,-92
2023-05-11,0,0,0,0,-56,1,2,0,-46,-90,0,-36,0,-13,100,0,0,0,0,0,0,-100,0,0,50,100,0,0,-2
2023-05-12,100,-11,0,0,-16,-57,-5,67,-38,0,-100,-25,0,-20,-48,0,58,0,92,60,0,0,86,97,-47,18,-49,65,100
2023-05-15,-100,100,0,100,-70,-32,-3,0,-65,91,-48,-39,0,-20,100,0,1,28,0,100,0,0,100,-12,-54,-100,-18,-9,-66
2023-05-16,0,-100,0,98,0,-61,-61,-67,0,70,-4,0,0,67,0,77,-100,-35,-85,-100,0,0,0,-85,100,0,-35,-100,0
2023-05-17,10,23,100,-100,-100,-100,22,0,81,-100,-100,0,100,-16,30,-63,4,8,-76,32,48,49,-91,0,42,-100,0,-46,-34
2023-05-18,6,41,-57,19,-11,-13,-100,0,99,-60,-50,0,38,14,-100,-14,-33,31,-76,-38,-46,-11,-2,0,73,-96,100,-5,13
2023-05-19,22,-1,100,-21,0,100,48,0,24,100,57,25,-41,-8,-100,19,100,-54,0,100,-2,-15,-45,0,100,-69,86,28,3
2023-05-22,0,-46,-31,-1,0,100,1,0,-61,-23,-20,1,0,-31,0,0,-23,-53,1,0,100,-7,0,0,74,-29,-100,-28,-16
2023-05-23,100,-95,-62,42,0,-100,-61,100,100,-100,28,-26,61,-26,-12,-19,-26,-82,100,-5,-82,100,77,20,-100,-9,-86,0,0
2023-05-24,0,-56,100,67,48,6,74,-6,-62,-67,100,0,54,5,-94,100,84,-67,79,0,-18,0,100,-20,92,72,80,0,32
2023-05-25,0,0,67,-83,24,-100,-100,100,89,22,10,0,-100,-5,-13,-57,-65,100,-45,-3,100,-73,-40,0,-32,-21,-42,0,-32
2023-05-26,-85,0,50,-62,100,-6,100,-37,-75,0,100,100,0,0,-100,0,0,0,0,0,0,-67,-67,0,0,-53,-38,0,100
2023-05-30,0,0,-100,-24,-33,0,100,0,2,0,-29,-100,100,0,-46,-28,100,74,-100,-9,0,0,-100,0,100,0,0,0,-70
2023-05-31,-58,92,0,100,-52,0,-44,-69,-7,0,0,0,-70,0,0,-15,-49,0,-17,-26,-15,-51,0,0,0,100,0,0,-30
2023-06-01,100,100,-91,-100,-81,0,11,-39,-45,-22,-17,0,28,100,0,59,100,-68,100,-16,87,-100,-31,92,-100,1,100,0,80
2023-06-02,-30,-100,100,-35,100,0,81,-30,-100,0,58,0,100,38,0,22,-32,-100,-100,12,16,28,31,-26,-63,-19,-53,23,5
2023-06-05,-100,-92,-23,0,-100,0,58,100,-85,0,29,100,-40,51,0,-24,80,-83,100,-12,55,-71,26,66,19,-9,100,-23,49
2023-06-06,100,0,-88,30,0,0,100,93,100,0,0,0,-8,-31,0,-12,0,0,-100,96,-46,0,100,-51,100,-2,100,0,82
2023-06-07,44,0,0,-30,-6,0,76,-100,0,0,100,-34,-48,1,0,77,-62,-19,-7,100,0,-6,100,100,-100,0,0,0,0
2023-06-08,-56,0,22,100,0,100,-77,-52,-99,99,100,28,-55,-100,46,-100,-23,-23,100,-45,-100,-100,43,-100,-45,-71,-52,0,35
2023-06-09,0,0,100,-100,0,91,100,-60,66,100,-100,100,-96,-48,0,-22,-29,0,-64,-55,0,-100,-62,-10,100,0,-100,0,-100
2023-06-12,60,0,-100,0,0,-51,17,100,49,-100,-46,-100,-23,-11,51,18,17,-85,100,-100,-97,-8,-100,-71,61,100,50,51,-24
2023-06-13,31,0,-85,100,0,49,-13,-100,58,-30,100,4,0,26,42,-18,-62,17,6,3,0,-3,-45,0,6,-81,100,-51,100
2023-06-14,-100,100,-2,-100,0,53,-100,0,9,-69,-100,100,59,100,30,100,-99,100,-70,100,0,75,100,37,-30,26,-100,76,67
2023-06-15,-100,0,0,100,0,0,-100,0,-64,0,-60,-68,100,0,0,-3,-100,89,0,-33,0,-9,0,0,100,-45,0,0,-19
2023-06-16,-33,0,0,0,0,-100,0,0,0,0,-82,0,0,-100,100,0,0,-100,0,-100,0,41,100,100,100,0,2,-28,-54
2023-06-20,-100,-11,40,11,0,65,-52,56,-100,0,-50,100,10,100,11,10,-36,6,-71,-26,5,100,-41,46,-100,100,72,-36,-100
2023-06-21,96,-27,-40,-5,0,-18,-100,-56,-19,0,-100,67,-100,77,-100,6,-24,-18,-12,9,8,100,100,-75,26,53,-84,-12,-14
2023-06-22,-100,-45,0,100,0,-64,-100,0,65,0,-19,-100,-10,-61,-87,0,-29,100,0,0,0,0,0,0,100,100,1,100,0
2023-06-23,-93,-17,79,-69,0,1,20,0,-15,0,100,-74,58,64,-93,-16,-100,-97,0,-44,-13,65,30,-100,-28,56,-100,-54,-27
2023-06-26,-41,100,-8,96,100,0,-3,0,0,100,0,0,-57,-17,0,1,-29,0,100,100,0,-100,-61,0,0,-21,0,0,-27
2023-06-27,0,89,-30,-39,0,-57,-65,0,100,-54,92,-100,0,100,0,-98,2,100,69,0,50,0,-68,-8,-78,87,0,-46,-53
2023-06-28,0,0,100,-100,0,-40,-31,0,100,74,0,-23,0,2,0,0,0,0,0,-61,-24,-40,0,0,0,0,-36,100,100
2023-06-29,100,66,-12,-88,-13,-4,0,0,-94,0,0,0,100,-100,87,100,1,-26,0,0,0,-22,-31,0,-37,0,0,-22,-100
2023-06-30,-100,-9,100,-6,-22,-25,0,0,-65,100,-10,0,-42,-39,-73,100,20,-100,-6,-39,-26,6,-27,0,-13,36,0,-61,10
2023-07-03,0,16,24,100,100,0,0,18,-80,-42,36,24,-68,30,-14,-28,-72,17,-63,54,0,-51,100,51,-100,100,0,-17,34
2023-07-05,100,100,-75,-85,-100,0,0,27,26,-16,-72,48,31,-100,0,46,9,60,29,-54,0,-73,58,42,-14,26,0,0,-44
