date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-07-06,-96,75,0,-26,0,0,2,0,0,100,0,-47,-59,-100,0,-100,-100,100,-5,0,0,100,-24,0,0,-3,-9,100,0
2021-07-07,100,100,95,0,-67,0,-2,-37,0,-60,0,0,0,-24,0,0,0,0,0,0,0,-26,0,-45,0,-16,100,-100,0
2021-07-08,-51,0,100,0,0,35,0,0,76,-13,-67,55,0,100,0,78,-100,-14,-31,100,0,-15,-100,-36,0,-77,100,0,100
2021-07-09,-49,-89,-100,100,7,-35,13,0,74,-48,98,-3,0,-53,44,-100,100,-83,-53,89,0,97,-100,63,-100,62,-100,0,100
2021-07-12,19,-100,79,-100,40,99,-11,100,-1,100,-100,-52,76,-83,-44,100,69,-84,-72,-89,100,100,-18,-69,-74,-68,-37,73,68
2021-07-13,10,100,-43,0,35,16,100,-97,13,46,-100,0,-61,-100,82,-100,100,85,0,-100,-27,100,59,8,-64,96,-48,-44,-61
2021-07-14,-29,-100,-82,0,100,0,3,100,-78,100,0,0,0,-21,-82,-92,100,100,0,0,100,100,-32,-15,-64,52,-15,100,100
2021-07-15,0,100,-37,0,100,-100,1,-100,-100,-39,0,0,100,0,0,0,0,0,0,0,0,0,24,0,100,-100,0,-61,0
2021-07-16,0,-29,74,0,-100,-6,100,-3,-37,0,-66,0,0,100,0,0,0,80,0,0,0,0,-51,0,100,-99,99,1,0
2021-07-19,0,-27,-27,0,100,100,-100,0,0,0,-7,100,33,0,0,0,-18,100,0,0,0,-54,0,0,-100,-100,-96,2,100
2021-07-20,0,67,35,0,-100,-100,-100,0,0,-100,-10,100,-100,100,0,0,-67,-35,0,0,-27,100,0,100,96,-50,97,100,76
2021-07-21,0,0,-100,0,-100,-9,-6,0,0,100,0,0,0,0,0,0,0,-100,0,1,-12,0,0,0,13,100,0,-100,100
2021-07-22,0,0,0,100,100,0,0,100,0,-60,0,-100,-48,2,100,0,100,-35,0,0,0,-53,0,44,0,-56,0,0,0
2021-07-23,0,0,0,0,0,0,0,-52,0,1,0,0,0,0,0,0,1,-36,0,100,-28,0,0,0,100,-100,0,-67,0
2021-07-26,0,0,0,100,-67,0,0,-33,0,-29,0,100,0,-49,0,0,1,-23,0,0,-80,-100,92,100,-6,0,0,0,100
2021-07-27,0,-11,-71,0,0,0,0,0,0,100,0,-12,0,0,100,0,-67,0,97,-62,-5,0,-56,0,-78,0,100,-4,-100
2021-07-28,0,-100,-50,-100,-67,100,59,-15,100,-73,0,40,42,35,100,0,100,-99,-67,100,-21,-100,96,62,-5,-100,-100,0,-25
2021-07-29,0,0,0,-63,100,0,-37,0,-2,60,100,-56,-29,-100,-54,0,-4,0,0,100,100,100,0,-5,0,0,-43,7,-100
2021-07-30,100,0,-35,-37,-4,100,0,100,-7,-37,42,-94,0,-21,0,100,-100,0,100,-52,-52,0,-50,0,-75,100,-57,-7,1
2021-08-02,100,-100,0,0,-100,100,0,-2,100,0,-33,100,0,-29,-39,-50,2,0,100,-2,-30,0,-82,-36,0,1,0,0,-57
2021-08-03,0,46,0,100,-15,100,-11,-36,100,-33,0,100,0,100,-48,-50,-65,-100,-100,-98,0,100,0,-100,-100,70,0,0,1
2021-08-04,-33,-100,57,-89,17,22,-11,-37,-100,66,-24,-63,-13,4,-16,0,-33,81,-60,24,29,18,0,-100,-100,-56,0,96,-100
