account_value,date,daily_return
888967.7734977842,2022-07-06,
896513.6896872488,2022-07-07,0.008488402408305618
897780.54081564,2022-07-08,0.0014130862060044436
895783.5906886221,2022-07-11,-0.002224318790874702
892743.1151502691,2022-07-12,-0.003394207674663474
886960.9593522382,2022-07-13,-0.006476841657924837
887471.6756614958,2022-07-14,0.0005758047227135688
905293.3810943876,2022-07-15,0.02008143574791621
893649.52167059,2022-07-18,-0.01286197344083262
908863.9896156889,2022-07-19,0.01702509493504456
902824.5889999968,2022-07-20,-0.006644999345001956
903455.8075554472,2022-07-21,0.0006991596852159443
903099.6260750395,2022-07-22,-0.0003942433901349407
905221.3986199003,2022-07-25,0.002349433532690348
913092.4260132414,2022-07-26,0.008695140664307432
916469.8732521635,2022-07-27,0.003698910584187809
924538.0145218474,2022-07-28,0.008803498625714168
925143.6530640227,2022-07-29,0.000655071541312946
924218.5417319379,2022-08-01,-0.0009999650638263802
921557.1651782118,2022-08-02,-0.0028795965819283786
925691.965948399,2022-08-03,0.00448675451336511
922576.375261601,2022-08-04,-0.0033656883730281972
925541.3320514607,2022-08-05,0.0032137792266999643
925131.7572620892,2022-08-08,-0.0004425245801435995
923547.8147171673,2022-08-09,-0.0017121264430588479
932784.6421250196,2022-08-10,0.010001460953790398
927158.543059689,2022-08-11,-0.006031509108590738
937310.1998284878,2022-08-12,0.010949213427185356
944640.8915513577,2022-08-15,0.007820987890893916
953542.8146852078,2022-08-16,0.009423605534618185
950250.1216920437,2022-08-17,-0.003453114996468276
949132.3428376736,2022-08-18,-0.0011762996171784668
947539.3064759793,2022-08-19,-0.0016784133147665914
932571.6836657071,2022-08-22,-0.015796308087670408
922326.3876882596,2022-08-23,-0.0109860680491346
921986.4444599042,2022-08-24,-0.00036857150884239687
928630.4712770352,2022-08-25,0.007206208786532775
902208.8915727505,2022-08-26,-0.028452199794768984
898316.3061197171,2022-08-29,-0.004314505752928022
890380.4754732022,2022-08-30,-0.00883411621547181
886349.9731538662,2022-08-31,-0.004526719116559552
898416.0548036465,2022-09-01,0.013613225041172017
887702.9389627347,2022-09-02,-0.0119244483484362
884425.9053552517,2022-09-06,-0.0036915881018847463
897305.0290010342,2022-09-07,0.014562128458470713
901908.7190645108,2022-09-08,0.005130574235833629
906508.7886217007,2022-09-09,0.005100371534229486
904550.7933595547,2022-09-12,-0.0021599297069397894
871878.2923677334,2022-09-13,-0.03612013966675509
871168.1860711941,2022-09-14,-0.0008144557591988066
867896.8918931851,2022-09-15,-0.003755066163242171
872971.7586229214,2022-09-16,0.0058473152480893464
877213.4279268155,2022-09-19,0.004858884908928829
869876.7112024197,2022-09-20,-0.008363662126941174
855828.850702084,2022-09-21,-0.016149254623586295
855595.1249177823,2022-09-22,-0.00027309874411218793
850086.9176538357,2022-09-23,-0.0064378665837721005
842983.0416772732,2022-09-26,-0.00835664663110991
834133.8294008145,2022-09-27,-0.010497497386010912
846303.380288876,2022-09-28,0.014589446512202064
836293.0087602505,2022-09-29,-0.01182834874794969
825371.8374116787,2022-09-30,-0.013059025047646555
843811.0494516263,2022-10-03,0.02234049092076118
