account_rewards,date
-138.27816315472592,2021-04-06
148.8043609544402,2021-04-07
1293.3422583732754,2021-04-08
-1297.2795998608926,2021-04-09
-2681.2782152211294,2021-04-12
2019.2122942621354,2021-04-13
6807.072412063717,2021-04-14
3447.8926199760754,2021-04-15
-1395.8434044725727,2021-04-16
-6318.642056751181,2021-04-19
6873.592125011492,2021-04-20
-6389.455823478755,2021-04-21
6417.484663372161,2021-04-22
-3938.10981917195,2021-04-23
-5379.589378921548,2021-04-26
-2856.228767223307,2021-04-27
8552.45330900955,2021-04-28
-7586.3767510490725,2021-04-29
7162.999201835715,2021-04-30
3039.0694307364756,2021-05-03
5070.524399841321,2021-05-04
7820.326338394196,2021-05-05
6574.7812661057105,2021-05-06
7167.371348586981,2021-05-07
-13411.897475555423,2021-05-10
-14378.081229370087,2021-05-11
12737.968872570083,2021-05-12
5908.584246662096,2021-05-13
645.945458896691,2021-05-14
-6613.399450893397,2021-05-17
-4829.230737827369,2021-05-18
6835.209644405404,2021-05-19
896.5597908669151,2021-05-20
-272.6197999534197,2021-05-21
-8328.360840076464,2021-05-24
-6316.64637462236,2021-05-25
-2695.1378966674674,2021-05-26
2250.0152901458787,2021-05-27
-8577.47714083863,2021-05-28
4082.60311304091,2021-06-01
1373.873039417318,2021-06-02
3029.783725936897,2021-06-03
-3231.612615253427,2021-06-04
-2323.8856822128873,2021-06-07
2833.2910775908967,2021-06-08
7929.576423225459,2021-06-09
-2920.4711254730355,2021-06-10
-466.7108833617531,2021-06-11
-3083.320659637451,2021-06-14
-2781.932097587618,2021-06-15
403.8867408790393,2021-06-16
-14964.76974090573,2021-06-17
12694.374936286942,2021-06-18
1122.0295941085787,2021-06-21
-2882.8243530960754,2021-06-22
6170.399852615432,2021-06-23
9482.044584014919,2021-06-24
-574.5728190308437,2021-06-25
1657.011181900045,2021-06-28
4309.514887283323,2021-06-29
3259.2407965660095,2021-06-30
11559.839122425066,2021-07-01
