date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-10-02,48,-100,-100,100,0,100,100,89,-5,3,100,100,100,-55,0,-24,-74,70,0,21,77,32,91,-100,100,92,100,-35,-100
2020-10-05,100,-89,-99,3,0,-4,-100,-100,-95,-100,85,100,-37,0,-100,49,38,-15,0,100,17,53,65,-27,7,-100,41,0,97
2020-10-06,87,-33,-100,-40,0,92,100,-73,49,-100,21,-85,100,38,100,-99,100,100,19,100,46,-100,64,-100,15,-100,-100,0,-44
2020-10-07,-6,0,-64,100,0,0,100,0,-49,0,0,-59,100,-38,100,100,100,0,0,100,-100,48,0,-34,0,-61,-8,0,100
2020-10-08,100,-100,0,-31,0,0,0,1,0,0,100,0,0,0,0,0,0,0,-19,0,-60,100,0,-89,72,-100,-33,0,0
2020-10-09,73,0,0,78,0,40,-100,83,1,-100,100,-56,-17,0,-55,100,-27,-100,0,-48,-100,93,100,0,-100,100,0,0,2
2020-10-12,56,1,57,30,0,-6,89,57,88,22,-69,35,-55,0,28,100,29,-15,0,88,-32,-4,-17,-48,-100,-52,51,0,-7
2020-10-13,23,-100,-57,-44,0,34,100,100,-53,-85,81,-35,100,0,-37,-65,4,52,0,100,-76,-33,42,0,100,-100,-51,0,-9
2020-10-14,100,0,0,0,0,-92,100,0,0,-56,0,100,100,0,0,80,0,-19,0,100,0,100,0,0,-2,0,0,0,-66
2020-10-15,72,-10,0,65,14,-84,98,0,-36,-52,100,-76,100,0,-100,100,-100,-22,0,98,0,70,100,0,-47,-83,0,0,100
2020-10-16,62,0,0,-100,-14,100,0,-100,0,0,-29,-24,0,0,-66,0,1,0,0,100,0,-100,100,0,0,0,0,0,100
2020-10-19,100,0,0,-65,0,-100,100,-3,0,-100,97,0,0,0,-100,2,-47,0,0,-2,0,0,0,0,100,0,1,0,-13
2020-10-20,-21,0,100,100,0,-100,-10,92,0,-30,26,81,0,93,-100,91,79,-69,0,-38,0,0,0,0,0,0,2,0,-100
2020-10-21,100,0,-41,0,0,-83,1,-16,0,0,0,0,0,-93,-67,100,0,0,0,0,0,0,0,0,0,97,-3,0,0
2020-10-22,100,0,-59,-56,0,-11,-10,0,0,-24,100,-33,100,0,0,0,100,0,0,0,0,61,0,0,-100,-14,100,0,-22
2020-10-23,-1,0,100,-37,0,-100,82,100,0,0,100,63,-100,0,-100,100,-12,0,100,100,4,-69,-54,0,0,-83,100,0,-58
2020-10-26,100,0,-100,-52,0,0,41,50,0,0,16,-100,53,83,-77,-78,-32,0,-7,1,-4,13,36,5,-17,0,-100,38,-54
2020-10-27,0,0,0,100,0,-31,-42,100,0,0,-58,-11,100,-83,100,80,1,15,100,-48,0,1,100,-5,-18,0,-100,-38,-100
2020-10-28,100,0,0,0,0,-100,1,100,0,0,100,0,100,0,-78,100,0,-15,-16,-100,0,100,-75,12,-90,0,100,0,100
2020-10-29,100,0,0,100,0,-20,-100,100,0,0,0,0,-32,0,-22,-47,0,0,-42,100,0,-11,79,-12,-79,0,2,0,-21
2020-10-30,0,0,100,0,0,-91,100,100,0,0,0,0,0,0,0,67,0,0,-100,-50,0,100,-32,0,0,0,0,0,100
2020-11-02,0,0,0,-17,0,-100,0,100,0,0,100,0,-47,0,0,29,1,0,-35,0,0,0,-67,0,0,0,100,0,100
2020-11-03,-15,0,0,0,0,0,-75,0,0,0,0,0,-39,0,0,0,-52,0,0,0,0,63,0,0,0,0,-48,1,100
2020-11-04,-26,0,-28,0,0,-59,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,54,0,0,0,0,-31,-1,0
2020-11-05,0,0,-72,0,0,0,1,-81,0,0,-66,0,-62,0,99,0,100,0,0,0,0,0,100,0,0,0,1,0,100
2020-11-06,100,0,0,0,0,28,100,-24,0,0,-99,1,-20,0,-99,100,100,0,0,0,0,100,0,0,0,0,-77,0,-76
2020-11-09,-1605,0,0,-987,0,-28,-676,-906,0,0,-1240,-1,-780,0,0,-1604,-383,0,0,-1040,0,-1138,-777,0,0,0,-47,0,-490
2020-11-10,100,0,0,100,0,64,100,0,8,0,3,0,100,0,0,100,61,100,100,100,0,0,100,0,61,0,8,0,0
2020-11-11,37,0,0,100,0,-64,45,74,20,0,-3,0,100,21,100,58,-3,4,-100,100,0,0,85,0,100,0,-7,0,66
2020-11-12,100,0,0,-100,0,100,20,-54,100,0,34,0,100,-21,-7,17,44,100,0,-100,0,0,100,0,-39,0,77,12,-66
2020-11-13,100,0,0,100,0,-47,100,80,85,0,-34,0,100,41,100,100,66,59,79,92,0,100,100,59,41,0,-78,-12,0
2020-11-16,57,0,0,100,0,-24,-89,-100,100,0,60,10,94,-16,100,-10,-76,100,34,-31,0,100,25,29,100,24,0,0,100
2020-11-17,-52,0,0,100,0,22,100,0,50,0,-60,-10,100,100,7,100,-2,100,-100,33,0,100,100,-81,58,-2,0,0,32
2020-11-18,100,0,0,10,0,0,-25,1,-29,1,0,0,100,15,-66,23,62,59,67,89,0,-55,100,-7,-12,42,0,0,100
2020-11-19,100,0,0,17,17,69,-29,-1,100,-1,0,0,100,-100,79,-69,100,24,100,71,20,69,100,0,-58,-64,100,0,-11
2020-11-20,-100,0,36,-19,-17,37,20,0,-81,0,0,0,100,58,100,-16,-100,100,7,-36,-20,91,100,0,94,5,-100,0,-42
2020-11-23,-1,0,-27,100,0,6,83,0,-6,0,0,100,100,44,-83,-2,-70,100,73,-33,0,38,92,0,100,81,0,19,36
2020-11-24,61,0,4,100,100,19,-7,27,-77,23,100,-61,57,-100,-100,-100,93,32,100,91,0,100,100,0,-49,-15,0,-19,33
2020-11-25,100,0,48,100,-100,-91,18,20,100,-23,-56,-39,100,-42,95,50,-11,100,-64,100,0,59,92,0,87,100,0,0,-35
2020-11-27,100,0,-33,-90,0,-91,93,-47,48,0,66,38,100,100,-100,95,47,86,11,-53,0,100,48,0,37,-100,0,0,10
2020-11-30,100,0,-28,100,0,52,100,0,100,0,-100,100,100,-100,4,25,-70,-54,-100,100,0,-6,100,0,-56,100,10,63,-100
2020-12-01,-55,69,0,55,0,-52,65,0,69,0,29,-24,31,65,100,7,-100,100,100,0,0,42,100,2,-100,9,-10,0,49
2020-12-02,-100,-69,0,100,0,100,29,0,0,0,100,0,0,0,0,100,0,-24,-2,-100,0,0,100,-2,-43,-100,0,-24,-20
2020-12-03,100,0,0,0,0,-100,100,1,-28,0,100,-64,100,89,0,43,100,-100,-52,-55,0,-9,100,0,0,-53,100,-39,0
2020-12-04,-18,0,0,100,0,0,-7,-1,0,0,-63,0,0,-100,0,0,0,0,-74,0,0,0,0,0,56,-27,-100,0,0
2020-12-07,19,0,0,48,0,22,26,0,-100,0,-29,29,76,-54,-64,12,-100,-41,-100,15,0,-38,34,0,50,0,0,0,11
2020-12-08,-36,0,0,0,0,0,100,0,-100,0,0,95,100,0,-100,0,-41,0,-66,100,0,-54,100,0,-5,41,0,0,-55
2020-12-09,0,0,0,-33,0,0,0,100,0,0,-87,-70,-29,0,0,95,0,0,-13,1,0,0,0,0,100,-41,0,0,100
2020-12-10,-100,0,0,0,0,100,-76,-60,0,0,0,0,100,0,-100,100,0,-11,0,39,0,100,0,0,-87,0,0,0,100
2020-12-11,100,0,31,-100,0,69,2,-40,-55,0,11,-100,57,0,-65,100,100,-100,0,100,0,-3,-28,16,-47,28,60,0,100
2020-12-14,-71,0,-31,0,0,8,5,0,-99,0,-25,91,0,0,0,-27,0,100,100,100,0,-2,100,-16,0,-28,0,0,0
2020-12-15,100,0,0,0,0,-100,100,0,-100,0,85,-75,0,100,0,1,0,0,-100,0,0,100,100,0,0,0,0,0,-30
2020-12-16,100,0,0,0,0,92,0,1,0,0,-8,-20,0,0,0,0,-90,-100,0,0,0,0,-7,0,0,0,-24,0,-30
2020-12-17,-17,0,0,0,0,-78,0,100,-100,0,100,51,0,-85,0,-31,100,0,0,-5,0,-9,-77,75,0,0,0,0,-35
2020-12-18,100,0,0,0,0,0,2,0,-5,0,0,-39,-75,-15,0,100,100,-100,28,100,0,100,0,-75,-17,0,0,0,0
2020-12-21,0,0,0,-86,0,43,-55,2,0,0,-20,0,-50,0,0,97,84,-59,-28,100,0,100,100,0,-24,0,-36,0,-54
2020-12-22,0,0,0,0,0,-71,-72,-100,0,0,100,86,0,0,0,0,2,-69,0,100,0,0,-14,0,-35,0,0,0,100
2020-12-23,100,0,0,0,0,-65,100,0,0,0,-22,35,0,0,0,100,-8,0,0,0,0,1,-25,0,-34,0,0,0,-12
2020-12-24,100,0,0,-2,0,-20,100,-3,0,5,-43,-100,76,100,100,100,66,-29,41,100,0,55,1,0,-100,0,0,0,-100
2020-12-28,100,0,0,-66,0,0,-7,0,100,-5,0,0,100,0,-41,0,100,-100,0,0,0,97,0,0,-55,0,0,0,-4
2020-12-29,100,0,0,0,0,0,0,0,-59,0,-17,-33,-77,-14,-59,-67,-47,-4,-31,100,0,100,100,0,20,0,2,100,-100
2020-12-30,-1,0,0,0,0,0,-40,0,-41,0,0,0,0,-4,0,0,-47,0,0,0,0,0,66,0,0,0,0,100,0
