date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,-76,100,0,-2,-8,0,100,0,-30,100,0,-58,-14,-83,0,-100,-46,0,0,0,0,0,-7,99,0,-48,0,0,0
2022-04-05,100,39,0,0,-52,0,0,-29,0,-5,0,0,0,-100,0,0,0,0,0,0,0,-21,0,-26,0,-11,100,0,0
2022-04-06,-69,-11,100,-24,53,59,-39,-18,75,13,-71,0,0,100,0,100,0,0,-51,73,0,-11,-100,-29,0,-75,89,0,100
2022-04-07,-55,-100,-100,100,55,-59,28,0,79,-4,100,0,0,-100,54,-99,100,-18,-57,43,0,97,-100,83,-94,64,-100,0,100
2022-04-08,70,-100,100,-100,4,0,-46,100,-36,-55,-100,60,20,38,-42,100,100,-100,0,8,100,100,-28,-74,-47,-100,26,0,100
2022-04-11,61,100,-12,0,0,0,82,-79,-21,-100,-100,-60,-20,-54,100,-60,100,34,0,-18,-100,100,80,8,-37,48,16,0,31
2022-04-12,-100,-100,-51,52,100,0,8,100,-100,-29,64,0,0,0,-100,-95,100,73,0,10,6,100,-16,-100,-37,91,10,100,100
2022-04-13,0,100,-16,-52,100,0,59,-100,-19,0,35,0,100,0,-12,2,55,100,0,-20,58,100,100,0,99,-100,0,-56,0
2022-04-14,-31,-54,0,0,-100,0,100,-21,0,69,-53,0,1,0,0,-33,0,100,0,-18,-4,0,-100,-32,95,-86,96,1,-6
2022-04-18,0,-33,-16,0,100,100,-100,0,0,0,0,0,100,0,0,0,-6,81,0,-53,100,-47,-38,0,-100,-100,-80,100,100
2022-04-19,0,0,0,0,-100,-100,-100,0,0,-59,-12,100,-100,100,0,0,-58,0,0,-25,0,100,-97,100,92,-41,65,100,0
2022-04-20,0,0,-100,0,-100,0,-74,0,0,100,-64,-12,0,0,0,1,0,-93,0,1,-8,0,-100,0,96,100,0,-100,100
2022-04-21,0,0,0,19,100,0,-18,0,0,-41,0,-88,-32,3,100,0,100,0,0,0,0,-43,0,0,0,-40,0,0,-15
2022-04-22,0,0,0,0,0,0,0,0,0,0,-65,0,100,-49,0,-5,3,0,0,100,-6,0,0,0,47,-86,0,-66,-27
