date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-11-21,-14,-46,100,67,44,0,73,-9,-68,-72,100,0,4,3,-97,100,91,-75,69,-4,0,0,100,-23,97,93,79,0,0
2022-11-22,1,0,71,-79,25,-100,-100,100,86,23,0,0,-100,-85,-11,-58,-61,100,-38,-4,100,-71,-43,0,-32,-18,-45,0,0
2022-11-23,-83,0,45,-62,100,0,100,-32,-81,0,100,100,0,-6,-100,0,0,0,0,0,0,-67,-66,0,0,-95,-34,0,100
2022-11-25,1,0,-100,-20,-31,0,100,0,74,0,-26,-100,100,-96,-100,-30,100,100,-100,-9,21,71,-100,0,100,-77,0,0,-70
2022-11-28,-60,30,100,100,-48,0,-44,-66,-12,0,0,0,-64,0,-8,-12,-41,0,-12,-33,-11,-49,1,0,0,100,0,0,-30
2022-11-29,100,100,-82,-100,-80,0,10,-33,-51,-82,-14,0,33,100,-3,57,100,-65,100,-20,94,-100,-28,93,-100,3,100,0,90
2022-11-30,-46,-100,100,-48,100,0,80,-33,-100,-61,59,0,100,56,0,27,-25,-100,-100,-2,26,34,30,-21,-61,0,-55,19,6
2022-12-01,-100,-30,-22,0,-100,0,57,100,-68,-34,28,100,-52,68,0,-22,88,-90,100,-30,65,-63,25,69,24,9,100,-19,51
2022-12-02,100,45,-87,76,0,0,100,90,100,0,0,0,-18,-14,0,-9,69,0,-100,77,-35,0,100,-48,100,0,100,0,84
2022-12-05,79,0,34,-76,-10,0,79,-100,1,0,100,-37,-42,50,0,72,-57,-17,-3,100,-1,-9,100,100,-100,0,54,0,36
2022-12-06,-53,-45,24,100,0,100,-73,-55,-99,96,100,22,-49,-100,51,-100,-18,-19,100,-48,-100,-100,41,-100,-46,-87,-51,0,48
2022-12-07,0,0,100,-100,0,87,100,-62,1,100,-100,97,-43,-31,0,-25,-21,-1,-73,-73,64,-100,-62,-5,100,0,-100,0,-100
2022-12-08,66,0,-100,0,0,-56,19,99,43,-100,-39,-100,0,-100,50,16,19,-86,100,-82,-100,-6,-100,-61,57,100,50,43,-15
2022-12-09,14,0,-84,100,0,49,-14,-99,51,-18,100,-3,0,44,40,-16,-54,8,-3,0,-100,4,-46,-27,11,-59,98,-43,100
2022-12-12,-100,100,-100,-100,0,49,-100,0,0,-78,-100,94,46,100,28,100,-91,100,-80,100,-23,84,100,41,-25,45,-100,72,70
2022-12-13,-100,0,-52,100,0,0,-100,100,-72,0,-59,-78,100,100,0,-1,-97,100,0,-51,15,0,0,90,100,-77,100,3,-18
2022-12-14,-33,0,0,0,0,-100,0,-19,0,0,-72,100,0,-100,100,0,0,-100,39,-49,0,100,100,100,0,-14,0,-37,-50
2022-12-15,-100,-12,36,16,0,58,-55,62,-25,0,-41,100,16,100,7,13,-37,5,-69,0,-4,100,-35,56,-100,100,77,-38,-100
2022-12-16,83,-25,-36,-8,0,-23,-100,-89,0,0,-100,55,-100,95,-100,10,-18,-26,-30,0,8,100,100,-67,32,72,-82,0,-16
2022-12-19,-100,-43,0,100,0,-65,-100,0,0,0,-19,-100,-22,-44,-91,0,-21,55,0,0,100,0,0,0,100,100,0,4,0
2022-12-20,-56,-20,79,-65,0,-5,19,-16,0,0,100,-80,64,65,-85,-10,-100,-92,0,0,-100,62,33,-91,-35,51,-100,-4,-23
2022-12-21,0,100,-6,100,100,-1,-4,-38,0,67,0,0,-69,-1,0,100,-21,0,1,100,0,-100,-61,0,0,-2,0,100,-27
2022-12-22,0,81,-29,-29,28,-67,-64,2,100,-60,95,-100,29,97,0,-100,66,100,66,50,70,51,-69,-100,-88,82,48,-50,-100
2022-12-23,1,0,100,-100,0,-26,-14,-2,100,97,0,-41,0,100,0,-53,0,0,0,-63,-22,-38,0,-29,0,0,-51,1,100
2022-12-27,100,76,-13,-81,-19,0,0,0,-97,-6,0,0,100,-100,88,100,1,-21,0,-5,23,-23,-33,0,-44,-5,-24,-24,-100
2022-12-28,-100,-8,100,-33,-26,0,0,0,-69,100,-10,-24,-41,-44,-76,100,21,-100,-7,-57,-62,7,-26,0,-20,30,-32,-27,13
2022-12-29,-1,18,26,100,100,0,0,17,-34,-31,35,14,-79,47,-12,-26,-64,8,-60,36,-28,-42,100,55,-100,100,-35,0,36
2022-12-30,100,100,-70,-83,-100,0,0,24,15,-6,-71,37,20,-100,0,49,12,54,20,-61,0,-64,53,48,-10,42,-79,0,-85
