account_rewards,date
10652.84902775567,2021-10-04
3477.8857249526773,2021-10-05
13197.841303535504,2021-10-06
485.01833630760666,2021-10-07
-8734.131223587086,2021-10-08
-2623.7666760025313,2021-10-11
-1093.3874564018333,2021-10-12
17568.56582665257,2021-10-13
9278.893888877938,2021-10-14
-880.3355467758374,2021-10-15
2731.929158752435,2021-10-18
6343.943243289832,2021-10-19
8393.669704399304,2021-10-20
5006.638657840667,2021-10-21
-286.5834201888647,2021-10-22
1737.8964024924207,2021-10-25
405.0920539817307,2021-10-26
8939.026658168994,2021-10-27
5032.520547843771,2021-10-28
1002.1162994080223,2021-10-29
-754.567745948676,2021-11-01
5918.95341782365,2021-11-02
6954.65531247342,2021-11-03
6639.278254051227,2021-11-04
-1513.734927902231,2021-11-05
-1426.2200747109018,2021-11-08
-7506.860141433543,2021-11-09
-8556.074243186973,2021-11-10
6034.588647224475,2021-11-11
-1651.6757694359403,2021-11-12
5.832987716887146,2021-11-15
-2442.938526786864,2021-11-16
-677.5012197266333,2021-11-17
-6880.632380470168,2021-11-18
-2062.6212109909393,2021-11-19
6724.766122795176,2021-11-22
3209.933904224308,2021-11-23
-28323.154711719602,2021-11-24
13534.741946327267,2021-11-26
-16652.284601905616,2021-11-29
-4013.441457595909,2021-11-30
13435.609191505471,2021-12-01
2594.8413050803356,2021-12-02
19564.0154775735,2021-12-03
12538.78844296257,2021-12-06
2.3442650833167136,2021-12-07
3888.2319522516336,2021-12-08
10422.518663310912,2021-12-09
-5059.853701236658,2021-12-10
-1697.2224398727994,2021-12-13
16346.574720542878,2021-12-14
659.5074675027281,2021-12-15
-14476.513793209102,2021-12-16
-11266.218993785791,2021-12-17
18279.033518386772,2021-12-20
8322.743142223451,2021-12-21
3723.634128234815,2021-12-22
9089.972371639218,2021-12-23
2940.1628507156856,2021-12-27
4922.2862839088775,2021-12-28
-3973.459971027449,2021-12-29
-1285.5488864020444,2021-12-30
