Wall time,Step,Value
1732591913.1634796,10240,1.0141435861587524
1732591965.3336973,14336,1.0141438245773315
1732591992.991945,16384,1.0141440629959106
1732592048.1511507,20480,1.0141440629959106
1732592100.634347,24576,1.0141440629959106
1732592128.8278737,26624,1.0141454935073853
1732592183.8917744,30720,1.0141470432281494
1732592211.4543076,32768,1.0141477584838867
1732592236.3528123,34816,1.0141805410385132
1732592263.8941255,36864,1.014190912246704
1732592291.5065124,38912,1.014286756515503
1732592319.1463437,40960,1.0143356323242188
1732592346.6309044,43008,1.014386534690857
1732592371.5849626,45056,1.0145090818405151
1732592482.3941166,53248,1.0343247652053833
1732592510.1843581,55296,1.033804178237915
1732592646.2989364,65536,1.0015076398849487
1732592671.3225129,67584,1.0012528896331787
1732592727.0416212,71680,0.9955501556396484
1732592754.4783845,73728,0.9913745522499084
1732592809.7483945,77824,0.9931079149246216
1732592890.3662798,83968,0.9925942420959473
1732592918.423352,86016,0.9977569580078125
1732592971.2475364,90112,0.9962603449821472
1732592999.049764,92160,0.9909969568252563
1732593027.9128835,94208,0.9921624064445496
1732593055.4152622,96256,0.9957283139228821
1732593111.2083392,100352,0.9832441210746765
1732593163.99494,104448,0.9816228151321411
1732593191.559564,106496,0.992236316204071
1732593272.339451,112640,0.988169252872467
1732593299.8164203,114688,0.988502025604248
1732593327.7655149,116736,0.9957693815231323
1732593354.9741461,118784,0.9919005632400513
1732593382.435933,120832,0.9925537705421448
1732593462.1288092,126976,1.000902533531189
1732593489.6740043,129024,1.0018575191497803
1732593544.666095,133120,1.006308674812317
1732593597.032928,137216,1.0133488178253174
1732593625.1315515,139264,1.012508749961853
1732593652.3381438,141312,1.0058268308639526
1732593679.685043,143360,0.9994383454322815
1732593707.2038643,145408,1.0004656314849854
1732593759.6541746,149504,0.9973685145378113
1732593787.265114,151552,0.9988656640052795
1732593814.825845,153600,0.9942590594291687
1732593842.5602076,155648,0.9988252520561218
1732593895.4541569,159744,0.9922072291374207
1732593951.128672,163840,0.9867581725120544
1732593978.9517741,165888,0.9800122976303101
1732594116.853428,176128,0.9635905027389526
1732594144.5582945,178176,0.9561683535575867
1732594169.5423415,180224,0.9528592228889465
1732594197.2643971,182272,0.9563063979148865
1732594225.6436946,184320,0.9617270827293396
1732594254.2196877,186368,0.9770403504371643
1732594391.3103595,196608,0.9895836114883423
1732594613.5569155,212992,0.9766439199447632
1732594666.5537024,217088,0.9715493321418762
1732594694.3722794,219136,0.974872887134552
1732594722.1950927,221184,0.9752054810523987
