Wall time,Step,Value
1732591913.1619737,10240,0.9093882441520691
1732591965.3331122,14336,0.9609777927398682
1732591992.991252,16384,0.9018769264221191
1732592048.1495423,20480,0.9309586882591248
1732592100.6325986,24576,0.9261065125465393
1732592128.8269837,26624,0.9436113238334656
1732592183.8909786,30720,0.9044725894927979
1732592211.4533114,32768,0.8940737247467041
1732592236.3519545,34816,0.8637490272521973
1732592263.8933895,36864,0.8784239292144775
1732592291.5056684,38912,0.7577507495880127
1732592319.1445382,40960,0.7514312267303467
1732592346.6302109,43008,0.7167011499404907
1732592371.5842538,45056,0.6378427743911743
1732592482.39228,53248,0.6490123867988586
1732592510.1836252,55296,0.010021507740020752
1732592646.298308,65536,0.6128250360488892
1732592671.3209236,67584,0.49372655153274536
1732592727.040118,71680,0.2237710952758789
1732592754.4765518,73728,0.5677939653396606
1732592809.7475338,77824,0.6880201697349548
1732592890.3653843,83968,0.5610370635986328
1732592918.422598,86016,0.37310272455215454
1732592971.2459269,90112,0.3736480474472046
1732592999.0478868,92160,0.2138933539390564
1732593027.9112942,94208,0.2987439036369324
1732593055.4140098,96256,0.19819188117980957
1732593111.2070007,100352,0.6633661985397339
1732593163.994212,104448,0.3051176071166992
1732593191.5589192,106496,-0.002466559410095215
1732593272.338166,112640,-0.3276263475418091
1732593299.8148832,114688,0.10568666458129883
1732593327.764859,116736,-0.5079405307769775
1732593354.972451,118784,-0.4136723279953003
1732593382.4351888,120832,-1.0298359394073486
1732593462.1272128,126976,-1.0606770515441895
1732593489.6726635,129024,-1.3324873447418213
1732593544.6654208,133120,-2.7570111751556396
1732593597.0321777,137216,-0.04674422740936279
1732593625.1307864,139264,-0.6798163652420044
1732593652.337268,141312,-1.0859601497650146
1732593679.6842499,143360,-0.8803907632827759
1732593707.2017832,145408,-1.7027759552001953
1732593759.65343,149504,-0.8596774339675903
1732593787.2643054,151552,-1.3586769104003906
1732593814.8247693,153600,-2.661682367324829
1732593842.5583367,155648,-1.922971248626709
1732593895.453463,159744,-2.721538543701172
1732593951.1278417,163840,-2.132805585861206
1732593978.9504259,165888,0.7495063543319702
1732594116.8526042,176128,0.6355584263801575
1732594144.5525243,178176,0.620448112487793
1732594169.5406952,180224,0.6191942691802979
1732594197.2635834,182272,0.4048228859901428
1732594225.6423454,184320,0.6282537579536438
1732594254.2183614,186368,0.6081995368003845
1732594391.3095808,196608,0.22237467765808105
1732594613.5554194,212992,0.5201796293258667
1732594666.5527253,217088,0.24123799800872803
1732594694.371566,219136,0.35426783561706543
1732594722.193453,221184,0.2549932599067688
1732594915.6632833,235520,-0.8885774612426758
1732594997.2179003,241664,-4.629497051239014
1732595053.0493708,245760,0.5251048803329468
1732595078.4797685,247808,0.126270592212677
1732595106.3845897,249856,0.2989996671676636
1732595221.787414,258048,-0.2366480827331543
1732595246.8547087,260096,0.566565990447998
1732595274.5600681,262144,0.6683576107025146
1732595357.4734778,268288,0.6991091966629028
1732595382.345059,270336,0.5917909741401672
1732595465.9715633,276480,-0.36327803134918213
1732595573.5913897,284672,-0.42273104190826416
1732595628.8375444,288768,-0.9628686904907227
1732595681.3642228,292864,-4.569707870483398
1732595708.9732401,294912,0.817730724811554
1732595736.6274784,296960,0.2562190294265747
1732595764.7377255,299008,0.02551203966140747
1732595791.9194365,301056,0.6121840476989746
1732595819.338442,303104,0.41273725032806396
1732595871.628329,307200,0.42809993028640747
1732595926.5112069,311296,-0.5560303926467896
1732596006.567183,317440,-1.0730412006378174
1732596034.2929184,319488,-1.2026197910308838
1732596061.8071055,321536,-5.959736347198486
1732596118.164942,325632,0.7612971067428589
1732596143.0922318,327680,0.7380063533782959
1732596170.5394363,329728,0.8860586881637573
1732596225.841459,333824,0.755900502204895
1732596253.6992364,335872,0.6981992125511169
1732596306.470404,339968,0.6205559968948364
1732596334.1535993,342016,0.3617926836013794
1732596390.1274464,346112,0.13206696510314941
1732596417.7305238,348160,-0.4541834592819214
1732596442.659175,350208,-0.8805346488952637
1732596497.650007,354304,-0.758393406867981
1732596605.141804,362496,0.6909503936767578
1732596632.7430894,364544,0.5078245997428894
1732596661.5684662,366592,0.6182039976119995
1732596689.818632,368640,0.5297577381134033
1732596742.054533,372736,0.2314136028289795
1732596769.7251592,374784,0.5864307880401611
1732596824.8677022,378880,0.27607840299606323
1732596877.3268821,382976,-0.11465251445770264
1732596904.7810645,385024,-0.7157931327819824
1732596932.4419625,387072,-1.085988998413086
1732596960.0222445,389120,0.36200273036956787
1732597015.1120117,393216,0.15184485912322998
1732597039.814396,395264,-0.12963557243347168
1732597229.798443,409600,-1.5819196701049805
1732597337.691697,417792,-0.3737705945968628
1732597449.8594747,425984,-0.005173444747924805
1732597475.1552098,428032,0.6535569429397583
1732597503.2049484,430080,0.6171767711639404
1732597616.36103,438272,0.3474655747413635
1732597641.66431,440320,0.68873530626297
1732597670.02035,442368,0.8515102863311768
