account_rewards,date
-172.23756702430546,2021-04-06
115.76083933247719,2021-04-07
4483.909745178185,2021-04-08
-1608.6058367614169,2021-04-09
-239.1211297683185,2021-04-12
2433.628779873019,2021-04-13
4307.847479705932,2021-04-14
3029.0930314064026,2021-04-15
-2147.782169105485,2021-04-16
-8111.435957202921,2021-04-19
6930.055466278107,2021-04-20
-6779.311318817083,2021-04-21
7731.627112777787,2021-04-22
-1467.6525965271285,2021-04-23
782.4332275124034,2021-04-26
-5641.272242034902,2021-04-27
8948.261305442778,2021-04-28
-4573.40593452449,2021-04-29
5987.121240726439,2021-04-30
-2431.9518802528037,2021-05-03
3177.5153634491144,2021-05-04
11075.38540549844,2021-05-05
8196.331599605503,2021-05-06
-1092.6323343504919,2021-05-07
-16666.059156558942,2021-05-10
-20004.017541736714,2021-05-11
13637.42418410501,2021-05-12
12949.676087230677,2021-05-13
-645.0897499122657,2021-05-14
-8693.995282932185,2021-05-17
-5986.998140376876,2021-05-18
4724.203084831242,2021-05-19
7239.809285491938,2021-05-20
4724.371479072608,2021-05-21
-1630.4223034019815,2021-05-24
1221.9843107224442,2021-05-25
5572.799502780894,2021-05-26
3398.986449729884,2021-05-27
3409.5793354874477,2021-05-28
-585.6374904060503,2021-06-01
631.3058218650986,2021-06-02
4837.798063259106,2021-06-03
-4729.022923118551,2021-06-04
-2430.498712654109,2021-06-07
-5711.693236957537,2021-06-08
932.7103216514224,2021-06-09
502.8808209114941,2021-06-10
-4280.374250045861,2021-06-11
-4741.904801017721,2021-06-14
-9085.503558883676,2021-06-15
-6892.6287050780375,2021-06-16
-14892.841463180492,2021-06-17
15678.209305786178,2021-06-18
1985.7790295295417,2021-06-21
-4266.112705970765,2021-06-22
6663.331097061164,2021-06-23
4862.076574565843,2021-06-24
-275.2961600647541,2021-06-25
1830.4769878579536,2021-06-28
5966.562879821751,2021-06-29
4199.990705097211,2021-06-30
4154.8565676956205,2021-07-01
