date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-03-04,-100,0,0,100,-100,0,0,0,0,0,-100,0,0,-21,-100,0,0,93,0,100,100,0,100,-28,0,0,-9,1,-54
2022-03-07,100,100,0,-100,0,-100,0,0,0,0,-20,0,100,100,-100,0,-20,0,0,0,0,0,0,41,0,0,0,-100,84
2022-03-08,100,80,77,0,-4,-14,60,0,0,-85,24,0,-70,-92,-100,0,-59,0,0,2,100,0,-99,0,0,0,0,-100,-100
2022-03-09,0,-100,0,100,100,0,0,0,100,16,0,0,0,100,0,0,0,-93,0,-5,-25,0,-100,0,0,0,-48,100,-8
2022-03-10,0,-76,-77,-84,100,0,0,0,0,100,-24,0,-9,5,-32,0,0,0,0,0,0,0,0,0,23,0,0,-24,-96
2022-03-11,-100,2,0,-100,0,0,-34,0,0,0,100,0,-17,2,100,100,0,0,0,-97,0,0,0,0,-23,0,0,-35,-52
2022-03-14,40,100,0,-100,-24,0,100,100,-100,-5,0,0,100,100,100,-100,100,0,0,100,-100,0,0,-69,0,0,-6,-89,2
2022-03-15,100,0,100,-100,0,-53,-100,-100,0,100,-76,0,-46,0,0,0,1,0,100,-100,-77,0,0,-48,85,0,0,1,-26
2022-03-16,100,0,0,0,0,0,-19,0,0,-46,95,0,-36,100,-100,0,-30,0,-100,0,-3,0,0,1,0,0,-2,-14,1
2022-03-17,100,0,0,-6,0,100,100,0,0,-82,50,1,0,-100,-27,0,-24,0,1,0,-57,0,0,0,0,0,0,-100,0
2022-03-18,0,0,0,-100,96,-100,0,0,0,100,-100,-1,0,1,-59,100,3,38,0,0,-15,0,-100,-33,72,0,0,-64,0
2022-03-21,-5,47,0,-75,-19,0,0,100,0,-100,0,0,0,-82,100,1,-50,0,-1,0,0,100,0,0,0,0,-35,100,-1
2022-03-22,-51,0,-100,-100,100,0,-100,-14,100,-1,-19,82,-22,-100,0,50,100,-38,0,82,0,0,-35,100,-6,0,-73,0,0
2022-03-23,-35,0,0,13,-45,100,100,0,0,-59,-44,-82,0,0,-32,0,0,100,0,100,100,0,-25,-100,0,0,4,0,0
2022-03-24,46,-100,0,15,57,-64,100,-83,-23,-100,-6,100,0,17,-18,-32,-75,-42,0,63,-43,-100,-17,-50,-7,100,-100,-60,0
2022-03-25,0,100,0,0,100,27,-50,0,-77,0,0,0,0,-9,-28,100,-25,-32,0,0,-57,0,-80,100,100,-1,0,2,100
2022-03-28,-100,-33,100,-78,0,100,100,100,38,-57,0,-90,100,100,0,100,0,0,1,0,0,0,100,0,-57,-47,100,-33,0
2022-03-29,-27,-48,0,0,100,82,-100,-85,0,0,0,-10,-100,-100,0,0,0,-26,-1,-100,0,0,-70,-100,100,0,2,-2,100
2022-03-30,-93,100,-100,0,0,-42,100,-18,-5,1,0,0,0,-27,-45,-99,0,100,0,-100,0,0,-30,0,72,-52,100,1,0
2022-03-31,0,0,0,0,-36,100,0,0,0,-61,0,0,0,-39,0,-45,0,100,28,-34,100,79,0,0,-100,0,-52,1,-8
