date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,0,33,0,0,0,26,100,95,0,0,100,100,100,0,0,0,0,0,100,0,0,93,0,24,89,100,0,0,0
2021-04-07,100,-29,100,16,100,77,-55,-67,23,34,-100,-45,-100,0,0,0,0,0,59,100,0,-63,0,100,100,-100,100,0,39
2021-04-08,98,39,-74,50,39,100,58,-28,100,-34,58,100,0,93,0,84,13,40,-100,-100,0,-30,0,100,-100,0,-66,100,-39
2021-04-09,59,-43,100,32,-35,100,26,32,-17,82,-51,6,0,-93,0,-84,-13,100,35,69,0,0,32,100,100,45,100,100,8
2021-04-12,45,100,100,-98,-16,-100,-51,-32,3,100,-7,36,13,91,0,0,63,41,100,-18,0,0,94,91,-44,-45,100,84,-8
2021-04-13,-67,-1,-1,24,-88,-26,-13,5,11,100,100,-35,-5,100,0,0,100,53,82,-21,0,22,40,100,-55,100,-71,44,0
2021-04-14,97,-9,-8,19,71,74,100,-5,-10,-48,-12,-84,100,-39,0,0,-63,-20,38,35,76,100,-79,-100,-90,37,-98,14,100
2021-04-15,-100,22,100,57,26,17,38,100,-56,50,38,-78,-42,-78,100,0,83,100,59,-65,-74,-62,100,-100,0,-86,100,40,-64
2021-04-16,100,62,-31,100,-42,9,44,77,84,79,100,0,49,-74,-100,0,-24,-100,100,0,-2,-60,100,-100,0,-51,-22,-18,57
2021-04-19,-18,100,100,26,-55,-61,-21,-72,-100,-14,47,100,-22,0,35,0,32,79,0,0,0,100,100,32,57,0,94,95,-1
2021-04-20,100,-3,-100,-85,51,31,16,-96,0,100,-45,100,96,0,-35,90,74,6,-11,64,0,-16,-74,-16,43,100,100,100,71
2021-04-21,-64,100,-79,6,-19,100,-100,-9,20,0,8,-96,-100,0,0,-90,10,91,-62,35,0,28,83,-91,-100,-100,-42,-100,70
2021-04-22,-35,-27,100,74,-32,-36,96,0,78,100,100,100,-70,0,0,0,100,100,70,100,0,0,86,1,53,0,-45,100,100
2021-04-23,0,0,0,0,0,-100,1,0,-41,0,0,64,0,0,0,0,3,0,0,0,0,0,0,0,0,100,-69,0,-48
2021-04-26,0,-68,72,31,0,0,0,100,100,0,0,-72,-19,94,88,0,-77,0,-14,-49,0,-100,0,0,0,-40,0,1,0
2021-04-27,0,-2,100,-3,0,0,-48,0,0,-47,70,1,0,0,0,100,0,0,-5,0,0,-12,0,-43,0,-60,-100,-100,0
2021-04-28,0,51,-75,100,0,-100,-66,2,-15,100,-7,0,100,-74,-76,0,-94,-84,-19,-23,0,0,100,0,0,0,-8,-92,-40
2021-04-29,69,0,0,0,0,94,-100,-47,-99,53,-21,100,-100,-20,69,-19,1,0,-100,100,0,0,100,-94,-53,0,-17,100,-100
2021-04-30,-29,-73,-100,100,67,0,-25,0,0,100,-78,-100,0,0,0,1,-93,-100,0,-70,100,0,0,0,0,100,-56,-10,-94
2021-05-03,-47,50,-17,-36,23,90,0,100,100,-100,0,-80,100,0,-71,88,-100,-62,7,-100,-100,20,54,19,100,-66,0,74,-47
2021-05-04,0,0,-23,0,-31,8,0,0,-19,-30,0,0,0,0,100,100,0,0,0,0,0,-13,-100,-23,-34,100,0,3,0
2021-05-05,97,100,75,-100,-55,-100,0,59,-100,-44,-54,27,-71,46,100,100,0,100,100,-55,0,100,-86,0,-66,-45,100,8,83
2021-05-06,-34,0,0,-18,-4,-49,0,-100,100,-5,95,100,0,-25,-66,78,0,-100,-2,-2,52,21,-89,0,0,0,-45,-19,2
2021-05-07,100,4,100,100,0,-85,0,-100,-19,100,-94,0,85,0,-56,0,-15,-75,97,0,-52,-92,-32,100,0,-37,-55,0,4
2021-05-10,-29,0,-74,-86,0,-69,100,1,0,0,0,100,-65,-21,2,0,100,0,100,96,0,100,0,-43,0,-19,0,100,-37
2021-05-11,-8,-54,-99,-10,53,0,-46,54,-100,-39,-76,100,100,11,-90,3,29,-9,36,-31,0,-66,-23,38,0,-33,4,-72,-49
2021-05-12,-36,-61,-70,100,15,0,7,-26,100,19,36,-44,-100,-11,0,-100,-85,100,27,-14,0,-54,-81,-95,0,0,100,-9,-7
2021-05-13,-54,-91,-27,-35,69,0,50,100,-63,-20,32,98,38,0,0,-33,-5,-74,19,-51,0,29,100,18,0,0,64,-81,0
2021-05-14,-64,-89,100,-100,-100,0,25,-58,-68,100,-83,-69,38,0,88,-44,99,-47,-42,82,0,100,88,-3,100,64,55,-85,22
2021-05-17,-48,-100,-41,81,-37,30,-13,-85,-4,-29,14,12,-100,0,100,4,-69,-100,-100,12,0,-28,100,-15,62,-64,59,-84,-8
2021-05-18,82,-11,55,-28,0,54,100,0,-8,-100,-15,-78,62,0,28,89,100,-39,-72,100,0,-100,-31,0,100,57,-50,3,-14
2021-05-19,-100,35,-32,-50,0,28,-100,0,100,59,100,-100,5,39,-54,-97,-15,19,32,83,100,-17,-69,0,2,-57,-81,-88,35
2021-05-20,-79,0,0,0,0,100,-11,0,0,0,100,100,100,-2,95,100,-16,-19,100,-53,-80,0,-22,100,-54,0,100,100,-35
2021-05-21,95,-35,-17,-11,0,43,-54,0,16,-87,96,100,-74,40,-76,-33,-86,0,56,29,-20,0,-99,11,-6,0,8,43,0
2021-05-24,-47,0,-34,0,0,2,-58,0,-19,0,-9,0,-100,-34,-46,0,3,0,0,-100,0,0,100,0,100,0,0,0,0
2021-05-25,-93,0,100,-65,0,-23,0,0,-97,-100,-8,0,-12,-34,100,100,-55,0,55,0,100,0,0,100,0,0,1,-37,0
2021-05-26,-90,100,-100,-100,0,100,0,100,11,100,-100,0,-6,-2,-51,100,0,100,91,100,0,1,0,-90,-100,0,-39,-69,0
2021-05-27,56,-39,47,-91,21,-100,75,-5,-11,-100,-26,-33,100,-3,-100,21,48,13,100,-88,64,18,-46,100,-26,100,78,23,0
2021-05-28,-56,100,100,100,13,17,-75,-95,0,-71,68,-41,-100,22,-48,-15,-48,-50,-13,-60,-14,-19,98,37,-29,-23,-100,-10,12
2021-06-01,0,-100,-65,100,-34,56,0,59,33,-25,85,-100,0,-26,0,-1,11,-63,100,100,-100,0,55,0,100,0,27,-12,71
