date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-06-03,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,0,-33,0,0,0,0,-50,0,0,0,45,0,2,-37
2022-06-06,-100,100,100,0,-100,100,0,-100,-3,0,0,-65,0,0,-65,0,0,0,0,0,-28,0,0,-85,88,0,0,8,-63
2022-06-07,-100,0,29,-40,-34,0,0,0,0,0,100,0,0,0,0,-37,-19,0,0,0,0,0,0,0,0,0,0,1,0
2022-06-08,100,0,100,-40,100,-84,0,58,-57,0,-17,0,0,4,-20,-33,0,0,0,0,0,0,0,0,0,-100,0,-54,0
2022-06-09,-25,95,61,-70,0,0,0,-58,-6,0,-83,0,0,-4,100,100,-29,80,0,73,-100,100,0,-27,0,-76,0,-26,0
2022-06-10,-72,0,0,-15,0,0,0,0,-7,0,0,100,0,3,-1,-100,-66,0,0,-73,-39,0,0,2,53,0,0,0,0
2022-06-13,-100,0,0,0,-34,0,0,0,0,0,0,0,0,0,100,0,9,0,0,0,0,-69,0,100,-12,0,0,0,0
2022-06-14,-37,-69,0,100,100,-16,0,0,-36,0,0,0,0,-3,-73,0,100,-80,0,0,-69,1,0,100,34,0,0,100,0
2022-06-15,0,-100,100,-55,73,0,0,0,0,0,0,0,100,4,0,0,0,0,0,0,-61,0,0,-1,0,0,0,98,0
2022-06-16,0,1,0,-84,0,0,0,0,0,0,0,100,-100,-4,-82,0,1,0,0,0,0,-32,0,0,51,0,0,0,0
2022-06-17,100,-100,-27,-100,-100,0,0,0,0,0,0,-100,0,0,-51,0,1,0,0,0,0,0,84,100,100,0,0,0,0
2022-06-21,0,0,0,-42,-33,0,0,0,0,100,0,0,0,0,-72,0,0,0,0,0,0,0,-84,-57,35,0,0,6,0
2022-06-22,0,100,100,-2,-61,0,0,0,0,-100,0,-93,0,0,0,0,0,0,0,0,-34,0,3,0,54,0,0,-10,0
2022-06-23,0,0,0,93,100,0,0,0,100,0,0,0,0,0,0,0,-100,0,0,0,-21,0,100,0,-100,0,0,86,100
2022-06-24,100,-100,0,-64,-83,0,0,0,-50,0,0,100,0,0,0,100,-11,0,0,0,0,23,-33,100,-2,0,2,-32,-49
2022-06-27,-88,-100,-16,0,-67,100,0,0,100,0,0,-100,0,0,0,-100,1,100,0,0,0,0,-70,1,72,0,-2,1,0
2022-06-28,0,0,-75,-29,0,-100,0,0,2,0,0,-7,0,100,0,0,-1,0,0,0,-21,0,0,-21,80,0,0,2,-51
2022-06-29,-33,100,1,0,0,0,0,0,0,0,0,0,0,-100,100,0,0,-27,0,0,-93,-15,0,0,0,0,0,0,0
2022-06-30,100,0,-20,0,0,0,1,3,-27,0,0,0,0,0,0,0,0,-48,0,0,0,-8,0,0,0,0,0,100,0
2022-07-01,-100,0,0,0,0,0,-1,-3,0,0,0,0,0,0,-100,0,0,-25,0,0,12,0,0,-100,100,0,0,2,0
