account_value,date,daily_return
1138558.893399479,2020-01-03,
1145846.7185770608,2020-01-06,0.006400920690033063
1143488.3886924174,2020-01-07,-0.002058154765737008
1146938.7912062267,2020-01-08,0.0030174355489125393
1155403.1294672128,2020-01-09,0.007379938952177367
1153596.796711796,2020-01-10,-0.0015633787977100688
1164574.3226688274,2020-01-13,0.0095159123086348
1162995.6430771067,2020-01-14,-0.0013555850931891156
1165797.8490748599,2020-01-15,0.0024094724812029344
1173348.7772421266,2020-01-16,0.006477047605859765
1177920.788892212,2020-01-17,0.0038965495501104286
1178467.5930876161,2020-01-21,0.00046421134643392925
1176204.493127289,2020-01-22,-0.001920375217444703
1174265.7754148867,2020-01-23,-0.0016482828655480786
1164140.9080290224,2020-01-24,-0.008622296244891414
1147759.7340139772,2020-01-27,-0.01407147013051857
1159841.5439047243,2020-01-28,0.010526427729342203
1161036.5794615175,2020-01-29,0.0010303438112502228
1171461.8352217104,2020-01-30,0.008979265549951876
1146587.4352621462,2020-01-31,-0.021233640919131158
1156887.7651383555,2020-02-03,0.008983466554257413
1175722.2289750255,2020-02-04,0.016280286129932042
1174720.9266450084,2020-02-05,-0.0008516487188390265
1176514.3164612926,2020-02-06,0.0015266517992542639
1168481.027002064,2020-02-07,-0.0068280422488958825
1180601.9225327647,2020-02-10,0.010373206967509763
1182566.9164826549,2020-02-11,0.0016644000931953506
1190359.3730485118,2020-02-12,0.00658944238777992
1185300.501283375,2020-02-13,-0.004249869308107335
1189159.0820862926,2020-02-14,0.00325536081250255
1185094.7954423106,2020-02-18,-0.003417782116124868
1192667.972100941,2020-02-19,0.00639035517475528
1190959.4130112804,2020-02-20,-0.0014325521684387388
1177473.3685319102,2020-02-21,-0.011323681002085029
1145003.8498551524,2020-02-24,-0.02757558645869096
1108746.0183274425,2020-02-25,-0.031666121936879676
1100691.8415085948,2020-02-26,-0.007264221639323165
1056376.1569611705,2020-02-27,-0.040261663506732104
1049749.7711960948,2020-02-28,-0.006272752107674862
1092991.13819286,2020-03-02,0.04119207089466226
1059656.8757722056,2020-03-03,-0.03049820008217896
1107954.7154557384,2020-03-04,0.0455787536397918
1071429.531060902,2020-03-05,-0.0329663152160623
1056792.9934785045,2020-03-06,-0.013660756174887934
983299.7872559703,2020-03-09,-0.06954361608759951
982316.4879869274,2020-03-10,-0.0009999994729856798
972767.470422917,2020-03-11,-0.00972091752585691
934600.3883462722,2020-03-12,-0.03923556578228449
934257.8845063979,2020-03-13,-0.000366470894025972
934257.8845063979,2020-03-16,0.0
934257.8845063979,2020-03-17,0.0
934257.8845063979,2020-03-18,0.0
934257.8845063979,2020-03-19,0.0
934257.8845063979,2020-03-20,0.0
934257.8845063979,2020-03-23,0.0
934257.8845063979,2020-03-24,0.0
934257.8845063979,2020-03-25,0.0
934257.8845063979,2020-03-26,0.0
926950.2416684921,2020-03-27,-0.007821869056814701
938659.0843671615,2020-03-30,0.012631576294315217
927106.0620122727,2020-03-31,-0.012308006759107704
894708.8044221692,2020-04-01,-0.03494449979087133
911930.6663621718,2020-04-02,0.01924856652229434
