time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
111,0,1,,50,,,,,,,,,,,,,
103,0,2,,100,-7.0958251953125,5.272641428746283e-05,0.6923249959945679,1.0005111694335938,-0.004692807330283699,0.2,0.0,-0.00962997879832983,0.00044837355,10,0.00025,,
104,1,3,,150,-7.097418022155762,5.1484283903846514e-05,0.8726515471935272,1.0003994703292847,-0.0013639603068000383,0.2,0.0,-0.004669397138059139,0.00019317746,20,0.00025,,
105,1,4,,200,-7.0956305980682375,0.00017909380039782263,-1.2068901062011719,0.9999599456787109,-0.003966069471324119,0.2,0.0,-0.008843568153679371,0.00035037397,30,0.00025,,
105,2,5,,250,-7.094874143600464,0.0001043411883074441,0.36481738090515137,1.0003827810287476,-0.0012906974515786373,0.2,0.0,-0.0034789959900081158,0.00022044897,40,0.00025,,
106,2,6,,300,-7.096471834182739,7.06497212377144e-05,0.35796475410461426,1.0002074241638184,-0.002215577208204067,0.2,0.0,-0.00564299151301384,0.00032614946,50,0.00025,,
105,3,7,,350,-7.094321918487549,0.00011678656919684726,-7.197107315063477,0.9996286630630493,-0.0012619862353894008,0.2,0.0,-0.004527697805315256,0.00019213557,60,0.00025,,
106,3,8,,400,-7.090904283523559,7.420445444950019e-05,-0.17971718311309814,0.9987964630126953,-0.0006253439831198193,0.2,0.0,-0.0027923781890422106,0.0001825893,70,0.00025,,
106,4,9,,450,-7.086855268478393,3.741296259249793e-05,0.3239840865135193,0.99810791015625,-0.000945739389426592,0.2,0.0,-0.002667143940925598,0.000114055874,80,0.00025,,
106,4,10,,500,-7.083997392654419,2.881656364479568e-05,0.3447822332382202,0.9976507425308228,-0.002247009733924621,0.2,0.0,-0.0047374386340379715,0.00025410653,90,0.00025,,
107,5,11,,550,-7.082079696655273,3.564162525435677e-05,-1.4878337383270264,0.9974112510681152,-0.0032078737523406177,0.2,0.0,-0.007160788401961327,0.0004272306,100,0.00025,,
106,5,12,,600,-7.082690811157226,1.8801942292157037e-05,0.8574428707361221,0.9981562495231628,-0.000938433700779484,0.2,0.0,-0.002961208811029792,0.00024730206,110,0.00025,,
106,6,13,,650,-7.086684656143189,2.9290386282809778e-05,-16.273744583129883,0.9986095428466797,-0.002215790647140281,0.2,0.0,-0.005567420739680529,0.0002675724,120,0.00025,,
106,6,14,,700,-7.087670373916626,1.550272831991606e-05,0.35932642221450806,0.9987185597419739,-0.004827659551752817,0.2,0.0,-0.01077559869736433,0.0005309963,130,0.00025,,
107,7,15,,750,-7.086944341659546,1.1203049280084087e-05,0.5362905859947205,0.998051643371582,-0.0033628343770395475,0.2,0.0,-0.0085512176156044,0.00040226936,140,0.00025,,
107,7,16,,800,-7.080905961990356,1.237228384525224e-05,0.43994808197021484,0.9962490200996399,-0.0006531196785502403,0.2,0.0,-0.0017036261269822717,0.00019891023,150,0.00025,,
