account_rewards,date
4145.060233139084,2022-04-04
10370.48548477178,2022-04-05
4547.506734466529,2022-04-06
11986.794251197833,2022-04-07
-13344.489436145755,2022-04-08
-4527.533919769339,2022-04-11
7991.94480276492,2022-04-12
-4879.196914672852,2022-04-13
2577.596405029297,2022-04-14
9244.493465423584,2022-04-18
12094.675682067871,2022-04-19
-13258.632331848145,2022-04-20
-30620.21907043457,2022-04-21
6225.874538421631,2022-04-22
-21744.492191314697,2022-04-25
2223.832504272461,2022-04-26
16112.281242370605,2022-04-27
-30452.131713867188,2022-04-28
-6941.985057830811,2022-04-29
1125.3478240966797,2022-05-02
20696.11014175415,2022-05-03
-27092.22409439087,2022-05-04
5319.800899505615,2022-05-05
-21455.873138427734,2022-05-06
1946.6205139160156,2022-05-09
-7063.123531341553,2022-05-10
-10293.96354675293,2022-05-11
14429.255813598633,2022-05-12
2125.7296714782715,2022-05-13
12382.4651222229,2022-05-16
-916.4001057853457,2022-05-17
-1437.970286560012,2022-05-18
-237.53017044079024,2022-05-19
5132.445635986514,2022-05-20
1080.6015895844903,2022-05-23
3376.087377548218,2022-05-24
12785.153917148593,2022-05-25
14464.011097927112,2022-05-26
-6394.950338409399,2022-05-27
-8753.510625137365,2022-05-31
5980.918998176581,2022-06-01
-10407.292430877686,2022-06-02
1180.4238319396973,2022-06-03
8453.744915008545,2022-06-06
-9389.854015350342,2022-06-07
-19285.45262145996,2022-06-08
-23500.045280456543,2022-06-09
-20935.981678009033,2022-06-10
-4746.128204345703,2022-06-13
6847.303199768066,2022-06-14
-21600.080615997314,2022-06-15
-1113.7784576416016,2022-06-16
23755.922172546387,2022-06-17
850.9953804016113,2022-06-21
4045.7548484802246,2022-06-22
18667.388134002686,2022-06-23
879.4326667785645,2022-06-24
-8038.35733795166,2022-06-27
4635.606582641602,2022-06-28
-8411.342281341553,2022-06-29
10512.64289855957,2022-06-30
-6145.41975402832,2022-07-01
