time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance
28672,14,-2.021052631578948e-05,1498.0,116,247,0.9711194634437561,0.28515502930385994,1.1038419862785532e-05,117.92034,0.08967670798301697,0.00025,-9.70514119565487,130,0.2,0.9794921875,0.9045035615563393
30720,15,-1.8800000000000003e-05,1498.0,116,264,0.9650483131408691,0.36735394060378895,6.0384359076692815e-05,24.099651,0.18947677314281464,0.00025,-9.715545231103897,140,0.2,0.977783203125,0.8928351849317551
32768,16,-2.0047619047619053e-05,1498.0,116,281,0.963862419128418,0.49097815808781886,3.579851651096533e-05,16.19745,6.8518548011779785,0.00025,-9.673243075609207,150,0.2,0.973583984375,0.8706519305706024
34816,17,-2.0695652173913046e-05,1498.0,115,300,0.9647871255874634,0.30256547500612213,6.2796741307380445e-06,23.891624,0.22770346701145172,0.00025,-9.67631001472473,160,0.2,0.983203125,0.8637486398220062
36864,18,-2.079166666666667e-05,1498.0,116,317,0.9482887983322144,0.4981876100820955,8.17506516241906e-05,39.353405,0.16294845938682556,0.00025,-9.619393041729927,170,0.2,0.979296875,0.8854570016264915
38912,19,-2.1240000000000003e-05,1498.0,116,334,0.9395542740821838,0.27601533927954736,1.278388384626794e-05,37.664536,0.12883780896663666,0.00025,-9.526821541786195,180,0.2,0.991064453125,0.632226288318634
40960,20,-2.1037037037037037e-05,1498.0,115,353,0.9341890215873718,0.28564348686486485,5.551166732331581e-06,40.7069,0.31997981667518616,0.00025,-9.475027173757553,190,0.2,0.989892578125,0.6914950609207153
43008,21,-2.1142857142857144e-05,1498.0,115,370,0.9172937273979187,0.33767273772973566,1.0242471692833987e-05,38.47936,0.2269521951675415,0.00025,-9.402063632011414,200,0.2,0.989306640625,0.38099032640457153
45056,22,-2.186666666666667e-05,1498.0,115,389,0.9245001673698425,0.4716967054177076,0.00018136261201284753,47.202858,0.1764640063047409,0.00025,-9.35609470307827,210,0.2,0.99287109375,0.5827699303627014
47104,23,-2.170967741935484e-05,1498.0,115,406,0.9174904823303223,0.3540200869552791,3.5808143419302496e-06,50.23396,0.2304026186466217,0.00025,-9.357969364523887,220,0.2,0.993310546875,0.25763052701950073
49152,24,-2.1531249999999998e-05,1498.0,115,423,0.913984477519989,5.849434974370524,2.8770143988054996e-06,54.510265,0.1693396270275116,0.00025,-9.31835741996765,230,0.2,0.98955078125,0.5374510586261749
51200,25,-2.091176470588235e-05,1498.0,115,442,0.9215192794799805,0.3668212707154453,4.252571304519393e-06,47.399933,0.20838649570941925,0.00025,-9.334346932172775,240,0.2,0.993408203125,0.4243578314781189
53248,26,-2.0657142857142855e-05,1498.0,116,458,0.9192490577697754,0.30401191699784247,7.453745211094542e-05,53.461246,0.6130284667015076,0.00025,-9.35104071199894,250,0.2,0.98857421875,0.42615824937820435
55296,27,-2.0527777777777772e-05,1498.0,116,475,0.9271625280380249,0.3272071816492826,5.723386971823174e-06,29.706642,0.797752857208252,0.00025,-9.369670194387435,260,0.2,0.9900390625,0.5088808536529541
57344,28,-2.007894736842105e-05,1498.0,116,494,0.9277943968772888,0.385157919122139,0.00017282600940120573,54.202003,1.5588407516479492,0.00025,-9.406189596652984,270,0.2,0.98994140625,0.4762205481529236
59392,29,-1.9897435897435896e-05,1498.0,116,510,0.9264969229698181,0.5607174116186797,1.627600010856156e-06,33.290485,0.22328482568264008,0.00025,-9.39523467719555,280,0.2,0.9826171875,0.5904458463191986
61440,30,-2.0707317073170735e-05,1498.0,116,529,0.9327616095542908,0.6861474839039147,1.206186955293731e-06,24.240456,0.2156827300786972,0.00025,-9.42121805548668,290,0.2,0.9884765625,0.6180978715419769
63488,31,-2.116666666666667e-05,1498.0,115,551,0.9192055463790894,1.3730615276610478,2.5427597496019415e-06,38.38626,0.29415786266326904,0.00025,-9.392476692795753,300,0.2,0.99072265625,0.6137222945690155
65536,32,-2.12093023255814e-05,1498.0,115,568,0.9135016202926636,0.2900631816126406,4.22279889402688e-06,23.050625,0.25391247868537903,0.00025,-9.332774820923806,310,0.2,0.981591796875,0.6133376657962799
67584,33,-2.146666666666667e-05,1498.0,114,588,0.9098418951034546,0.9925057312473655,1.2843971801679288e-06,34.536972,0.3352547585964203,0.00025,-9.277553799748421,320,0.2,0.99013671875,0.48953986167907715
69632,34,-2.119565217391305e-05,1498.0,114,605,0.9019903540611267,0.3245431157294661,1.4624143654096144e-05,42.634148,0.1591677963733673,0.00025,-9.238774234056473,330,0.2,0.988671875,0.5214084386825562
71680,35,-2.1361702127659576e-05,1498.0,114,623,0.9035581946372986,0.9963029081467539,2.502811184754705e-05,28.026333,0.1985229253768921,0.00025,-9.213805356621743,340,0.2,0.992236328125,-0.22277820110321045
73728,36,-2.0816326530612243e-05,1498.0,114,642,0.9066861867904663,0.2715708263684064,1.7704336624291272e-06,33.51997,0.31310606002807617,0.00025,-9.234052926301956,350,0.2,0.995556640625,0.043654799461364746
75776,37,-2.0559999999999996e-05,1498.0,114,659,0.9163432121276855,0.2936023820657283,0.0006763714314092617,21.455986,0.42778730392456055,0.00025,-9.287750101089477,360,0.2,0.98486328125,0.4238002896308899
77824,38,-2.064705882352941e-05,1498.0,114,677,0.9073200225830078,0.39141388876596467,7.488518000364763e-07,19.637012,0.24685969948768616,0.00025,-9.289783903956414,370,0.2,0.986865234375,0.33147281408309937
79872,39,-2.0396226415094338e-05,1498.0,114,696,0.8964666724205017,4.386946142162197,7.91666568833449e-07,44.103203,0.14993377029895782,0.00025,-9.200043672323227,380,0.2,0.987646484375,0.31068331003189087
81920,40,-2.0203703703703703e-05,1498.0,114,714,0.8865095973014832,0.2860467548831366,7.203915768805302e-07,40.005104,0.20428761839866638,0.00025,-9.131496161222458,390,0.2,0.983984375,0.426940381526947
83968,41,-2.0017857142857144e-05,1498.0,114,733,0.8844012022018433,0.573101739352569,6.828884881571185e-07,29.866863,0.24033093452453613,0.00025,-9.0797883361578,400,0.2,0.991455078125,0.23137861490249634
