date,ensemble,dji
2019-01-03,1000000.0,1000000.0
2019-01-04,1006197.9808801652,1032924.8076574566
2019-01-07,1008966.3664871216,1037252.9614918886
2019-01-08,1017042.6360322954,1048541.7350926726
2019-01-09,1019191.5534832004,1052582.510463529
2019-01-10,1027521.1276876451,1057995.5223026092
2019-01-11,1026773.5293405306,1057732.3359745233
2019-01-14,1019410.5138924258,1053936.6673998921
2019-01-15,1025221.5501218416,1060802.0682984449
2019-01-16,1023651.839951836,1067042.4339526722
2019-01-17,1032056.0444424289,1074224.7432168394
2019-01-18,1044888.52213633,1089046.515622222
2019-01-22,1035962.780088219,1075740.2384518066
2019-01-23,1044031.4043335154,1083283.9661671694
2019-01-24,1042573.693891926,1082297.5124716484
2019-01-25,1044293.7226280406,1090406.35469717
2019-01-28,1028732.0651916696,1081194.6610281484
2019-01-29,1028069.7022880748,1083475.3509258656
2019-01-30,1028185.9948448376,1102645.5090227625
2019-01-31,1034575.6540054516,1101975.9636928563
2019-02-01,1034267.8921989634,1104806.7879171905
2019-02-04,1036885.1331657604,1112541.814298241
2019-02-05,1041525.0804390148,1120130.1381921931
2019-02-06,1040900.6062530712,1119194.8237439352
2019-02-07,1029107.9180168344,1109463.3004874154
2019-02-08,1031218.0751671032,1106677.5029067153
2019-02-11,1032599.981127186,1104331.5545082819
2019-02-12,1044761.0194267466,1120757.8423197933
2019-02-13,1048258.6112159922,1125937.628197871
2019-02-14,1046729.3084320262,1121358.685428629
2019-02-15,1045682.606593182,1140923.8382501767
2019-02-19,1045499.6609026458,1141279.5745627875
2019-02-20,1046426.9109543348,1144061.8423301245
2019-02-21,1044606.3603065996,1139485.9989092017
2019-02-22,1051165.8948900728,1147472.330783115
2019-02-25,1053594.6129099398,1150123.2206189313
2019-02-26,1053415.7710581254,1148625.8910088337
2019-02-27,1056371.2996225783,1145415.9992664875
2019-02-28,1058664.5799112748,1142367.4458227458
2019-03-01,1061267.2974405717,1147230.3233352087
2019-03-04,1049680.6513414355,1138120.39160266
2019-03-05,1046869.8811557664,1137546.4956055975
2019-03-06,1039622.2813266572,1131676.4159824783
2019-03-07,1030856.720850072,1122850.332900142
2019-03-08,1027552.3680923128,1121836.9320928478
2019-03-11,1040001.4166456804,1130681.094707045
2019-03-12,1043243.4503294572,1126439.722625544
2019-03-13,1049996.7032972916,1132973.6654399848
2019-03-14,1052025.91860262,1133284.3751089615
2019-03-15,1060739.2968451127,1139408.3430152095
2019-03-18,1061346.1531607255,1142283.6773251246
2019-03-19,1059958.7480475053,1141105.9249639162
2019-03-20,1056837.8827177628,1134859.360613051
2019-03-21,1067075.800709401,1144417.578642735
2019-03-22,1049836.2991263017,1124132.6021741068
2019-03-25,1048590.2739531144,1124772.1871369297
2019-03-26,1055182.4464956864,1130983.0228891177
2019-03-27,1050375.9787413224,1129566.2763353135
2019-03-28,1056080.2627073869,1133615.9192860825
2019-03-29,1064749.328518544,1142926.3616362666
2019-04-01,1074717.2881399735,1157461.186043118
2019-04-02,1068020.6576887711,1153966.1542554267
2019-04-03,1070820.915363942,1155685.2594563484
2019-04-04,1071043.6627470597,1163024.516275668
2019-04-05,1076954.2972911578,1164803.5422107566
2019-04-08,1075550.5856042604,1161102.1454808272
2019-04-09,1071226.288302472,1152707.6466519076
2019-04-10,1073056.361710935,1152997.6939987575
2019-04-11,1070445.383854886,1152375.758102751
2019-04-12,1093093.103793893,1164244.1959321913
2019-04-15,1092000.0406422014,1163030.628879297
2019-04-16,1091211.1319435472,1166023.2218672798
2019-04-17,1090278.2473099106,1165885.645239121
2019-04-18,1094231.5099495284,1170734.403498131
2019-04-22,1094879.8385448805,1168597.0584601664
2019-04-23,1102077.895743214,1175003.5836214938
2019-04-24,1103527.666347157,1172387.9058263013
2019-04-25,1093480.3120174755,1166438.4484490128
2019-04-26,1092402.5141155592,1170019.9176175997
