,account_value,date,daily_return,datadate
0,1000000.0,2021-04-06,,2021-04-06
1,999861.7218368452,2021-04-07,-0.0001382781631547,2021-04-07
2,1000010.5261977996,2021-04-08,0.0001488249401937,2021-04-08
3,1001303.868456173,2021-04-09,0.0012933286445402,2021-04-09
4,1000006.588856312,2021-04-12,-0.0012955903205098,2021-04-12
5,997325.310641091,2021-04-13,-0.0026812605487805,2021-04-13
6,999344.5229353532,2021-04-14,0.0020246275440098,2021-04-14
7,1006151.5953474168,2021-04-15,0.0068115372184853,2021-04-15
8,1009599.4879673928,2021-04-16,0.0034268122576355,2021-04-16
9,1008203.6445629204,2021-04-19,-0.0013825714266979,2021-04-19
10,1001885.0025061693,2021-04-20,-0.006267227946285,2021-04-20
11,1008758.5946311806,2021-04-21,0.006860659764162,2021-04-21
12,1002369.138807702,2021-04-22,-0.0063339790684161,2021-04-22
13,1008786.623471074,2021-04-23,0.006402316686451,2021-04-23
14,1004848.513651902,2021-04-26,-0.0039038085235721,2021-04-26
15,999468.9242729804,2021-04-27,-0.0053536322200155,2021-04-27
16,996612.6955057572,2021-04-28,-0.0028577464469953,2021-04-28
17,1005165.1488147668,2021-04-29,0.008581521535474,2021-04-29
18,997578.7720637176,2021-04-30,-0.0075473933412777,2021-04-30
19,1004741.7712655534,2021-05-03,0.0071803845495002,2021-05-03
20,1007780.84069629,2021-05-04,0.0030247268677885,2021-05-04
21,1012851.3650961312,2021-05-05,0.0050313760642026,2021-05-05
22,1020671.6914345254,2021-05-06,0.007721099667622,2021-05-06
23,1027246.4727006312,2021-05-07,0.0064416220428971,2021-05-07
24,1034413.844049218,2021-05-10,0.0069772654752895,2021-05-10
25,1021001.9465736628,2021-05-11,-0.0129656979677055,2021-05-11
26,1006623.8653442926,2021-05-12,-0.0140823249922499,2021-05-12
27,1019361.8342168628,2021-05-13,0.0126541494902998,2021-05-13
28,1025270.4184635248,2021-05-14,0.0057963561596372,2021-05-14
29,1025916.3639224216,2021-05-17,0.0006300244767274,2021-05-17
30,1019302.964471528,2021-05-18,-0.0064463339151821,2021-05-18
31,1014473.7337337008,2021-05-19,-0.0047377775854219,2021-05-19
32,1021308.943378106,2021-05-20,0.0067376901117477,2021-05-20
33,1022205.503168973,2021-05-21,0.0008778536569957,2021-05-21
34,1021932.8833690196,2021-05-24,-0.0002666976445619,2021-05-24
35,1013604.5225289433,2021-05-25,-0.0081496162572048,2021-05-25
36,1007287.8761543208,2021-05-26,-0.0062318648291567,2021-05-26
37,1004592.7382576532,2021-05-27,-0.0026756381769996,2021-05-27
38,1006842.7535477992,2021-05-28,0.0022397288019901,2021-05-28
39,998265.2764069606,2021-06-01,-0.0085191824747352,2021-06-01
40,1002347.8795200016,2021-06-02,0.0040896976079698,2021-06-02
41,1003721.7525594188,2021-06-03,0.0013706549068326,2021-06-03
42,1006751.5362853556,2021-06-04,0.003018549431863,2021-06-04
43,1003519.9236701024,2021-06-07,-0.0032099405849205,2021-06-07
44,1001196.0379878894,2021-06-08,-0.0023157344736255,2021-06-08
45,1004029.3290654804,2021-06-09,0.0028299064020318,2021-06-09
46,1011958.9054887056,2021-06-10,0.0078977537743902,2021-06-10
47,1009038.4343632328,2021-06-11,-0.0028859582238298,2021-06-11
48,1008571.7234798708,2021-06-14,-0.0004625303333032,2021-06-14
49,1005488.4028202336,2021-06-15,-0.003057115907433,2021-06-15
50,1002706.470722646,2021-06-16,-0.0027667470751375,2021-06-16
51,1003110.3574635248,2021-06-17,0.0004027965837181,2021-06-17
52,988145.5877226192,2021-06-18,-0.0149183682827738,2021-06-18
53,1000839.962658906,2021-06-21,0.0128466645947826,2021-06-21
54,1001961.9922530148,2021-06-22,0.0011210879221166,2021-06-22
55,999079.1678999186,2021-06-23,-0.0028771793495018,2021-06-23
56,1005249.567752534,2021-06-24,0.0061760869917704,2021-06-24
57,1014731.612336549,2021-06-25,0.0094325278897797,2021-06-25
58,1014157.039517518,2021-06-28,-0.0005662313187502,2021-06-28
59,1015814.0506994182,2021-06-29,0.0016338802742901,2021-06-29
60,1020123.5655867016,2021-06-30,0.0042424249638171,2021-06-30
61,1023382.8063832676,2021-07-01,0.0031949470696635,2021-07-01
62,1034942.6455056926,2021-07-02,0.0112957136374791,2021-07-02
63,1029420.0212915202,2021-07-06,,2021-07-06
64,1034923.7769797528,2021-07-07,0.0053464626434285,2021-07-07
65,1030906.2271440632,2021-07-08,-0.0038819765523352,2021-07-08
66,1039071.7390933352,2021-07-09,0.0079207126063185,2021-07-09
67,1037768.1677136318,2021-07-12,-0.0012545537816677,2021-07-12
68,1037895.021720071,2021-07-13,0.0001222373265876,2021-07-13
69,1043290.0804173136,2021-07-14,0.0051980774397604,2021-07-14
70,1042274.2469278576,2021-07-15,-0.0009736826876085,2021-07-15
71,1038057.0332983524,2021-07-16,-0.0040461650491083,2021-07-16
72,1022866.3958791132,2021-07-19,-0.0146337213967635,2021-07-19
73,1035340.8542623532,2021-07-20,0.0121955892123315,2021-07-20
74,1038646.5908406994,2021-07-21,0.0031928968752048,2021-07-21
75,1040804.1908343516,2021-07-22,0.0020773187075171,2021-07-22
76,1050403.9469116563,2021-07-23,0.0092234025975714,2021-07-23
77,1049421.180953168,2021-07-26,-0.0009356076406394,2021-07-26
78,1046319.647853387,2021-07-27,-0.0029554702688238,2021-07-27
79,1044939.3085214664,2021-07-28,-0.0013192329272918,2021-07-28
80,1044717.9071591046,2021-07-29,-0.0002118796379428,2021-07-29
81,1041861.3008857014,2021-07-30,-0.0027343326402541,2021-07-30
