date,ensemble
2021-04-06,1000000.0
2021-04-07,999925.6250117684
2021-04-08,1000077.0414144136
2021-04-09,1003740.5963613816
2021-04-12,1003100.6488625716
2021-04-13,1001681.361533546
2021-04-14,1001346.4346795728
2021-04-15,1003280.4868787728
2021-04-16,1005826.0979854774
2021-04-19,1003282.960743042
2021-04-20,998810.965057724
2021-04-21,1004589.280426712
2021-04-22,998406.7518490372
2021-04-23,1003975.8534934882
2021-04-26,1001192.0256054304
2021-04-27,1001419.3397624588
2021-04-28,992069.5793469924
2021-04-29,999937.3200880736
2021-04-30,996456.4464370308
2021-05-03,1004244.047903881
2021-05-04,1004671.8791675756
2021-05-05,1004171.1034003982
2021-05-06,1011958.4291221848
2021-05-07,1017366.266369232
2021-05-10,1016413.9787290876
2021-05-11,1003569.0056601448
2021-05-12,982415.1805910758
2021-05-13,994357.4433964118
2021-05-14,1004660.2512110596
2021-05-17,1003175.8133686944
2021-05-18,999130.554264019
2021-05-19,994405.1167375564
2021-05-20,1000105.0135661736
2021-05-21,1001923.534255764
2021-05-24,1006530.5037547798
2021-05-25,1008083.9070933152
2021-05-26,1009943.6152302972
2021-05-27,1013479.2340131684
2021-05-28,1012788.3146527634
2021-06-01,1009780.575181305
2021-06-02,1010125.0799650918
2021-06-03,1008940.3972957116
2021-06-04,1012496.203146431
2021-06-07,1008453.3317410202
2021-06-08,1008884.408072632
2021-06-09,1004059.0438423692
2021-06-10,1006138.0384221078
2021-06-11,1007418.3294293176
2021-06-14,1008324.366813385
2021-06-15,1004148.4097452852
2021-06-16,996602.0722105296
2021-06-17,994192.527305031
2021-06-18,979210.5193236772
2021-06-21,994499.3201732064
2021-06-22,997635.0221157038
2021-06-23,993577.295531956
2021-06-24,1001259.0297226298
2021-06-25,1015927.911996796
2021-06-28,1009933.105109814
2021-06-29,1009845.4810878529
2021-06-30,1012894.7527048
2021-07-01,1019674.3104862864
2021-07-02,1026563.8670363888
2021-07-06,1022237.6658835872
2021-07-07,1026273.784341408
2021-07-08,1017860.9780633204
2021-07-09,1029394.1196236424
2021-07-12,1033761.7214687312
2021-07-13,1033940.9048249744
2021-07-14,1036449.9077524036
2021-07-15,1040670.1283306888
2021-07-16,1035575.544108189
2021-07-19,1015709.1885888294
2021-07-20,1029301.0490607189
2021-07-21,1035598.7824169887
2021-07-22,1039845.7135547604
2021-07-23,1050925.8252949603
2021-07-26,1048524.3726475756
2021-07-27,1049672.8089314045
2021-07-28,1042669.516231625
2021-07-29,1047914.8587392544
2021-07-30,1044136.5756965068
2021-08-02,1041727.7932318615
2021-08-03,1047780.2705561032
2021-08-04,1040467.1947580304
2021-08-05,1048192.1040783048
2021-08-06,1048982.8358424497
2021-08-09,1044577.9018757672
2021-08-10,1046289.0476993108
2021-08-11,1049140.6857144702
2021-08-12,1050099.2420720067
2021-08-13,1053405.0113753362
2021-08-16,1059369.0355274358
2021-08-17,1055619.8127745518
2021-08-18,1044413.8245378956
2021-08-19,1045298.2083380972
2021-08-20,1051906.412406136
2021-08-23,1054641.1160753446
2021-08-24,1051561.277303578
2021-08-25,1049757.2228026967
2021-08-26,1041228.389671204
2021-08-27,1046907.4696065296
2021-08-30,1046912.0475154272
2021-08-31,1044964.6044921232
2021-09-01,1045238.4113802876
2021-09-02,1050894.5442164885
2021-09-03,1049465.105668862
