Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,7.686190128326416,8.015456199645996,7.608980178833008,8.003003120422363,7.983397483825684,144961322
2009-01-05,7.995032787322998,8.250077247619629,7.845592975616455,8.170623779296875,8.15060806274414,196293007
2009-01-06,8.293414115905762,8.488183975219727,8.129279136657715,8.320313453674316,8.29992961883545,257971329
2009-01-07,8.177349090576172,8.241856575012207,7.938992977142334,8.020188331604004,8.000540733337402,180453860
2009-01-08,7.9272871017456055,8.099390983581543,7.903873920440674,8.099390983581543,8.079549789428711,144567852
2009-01-09,8.156926155090332,8.156926155090332,7.805741786956787,7.8473358154296875,7.828111171722412,174270770
2009-01-12,7.878220081329346,7.943974018096924,7.72678804397583,7.788057804107666,7.768978595733643,132667413
2009-01-13,7.765143871307373,7.98507022857666,7.730772972106934,7.828656196594238,7.80947732925415,177964564
2009-01-14,7.721059799194336,7.815704822540283,7.415953159332275,7.496152877807617,7.477788925170898,219535801
2009-01-15,7.41146993637085,7.561159133911133,7.142975807189941,7.446836948394775,7.428593635559082,238269759
2009-01-16,7.597023963928223,7.677473068237305,7.364894866943359,7.46377420425415,7.445489406585693,209759293
2009-01-20,7.450572967529297,7.459539890289307,7.042354106903076,7.042354106903076,7.025101661682129,202684876
2009-01-21,7.181830883026123,7.559165954589844,7.181830883026123,7.5487060546875,7.530213356018066,197718329
2009-01-22,7.423175811767578,7.704870223999023,7.351195812225342,7.633885860443115,7.615184307098389,331919470
2009-01-23,7.702877998352051,8.268009185791016,7.577098846435547,8.087186813354492,8.067374229431152,430921167
2009-01-26,8.090923309326172,8.169379234313965,7.984074115753174,8.06651496887207,8.046753883361816,185119281
2009-01-27,8.130773544311523,8.315581321716309,8.07647705078125,8.256053924560547,8.235828399658203,197830749
2009-01-28,8.417946815490723,8.775358200073242,8.37635326385498,8.684199333190918,8.662924766540527,308809170
2009-01-29,8.581335067749023,8.594037055969238,8.470998764038086,8.550949096679688,8.530000686645508,292444059
2009-01-30,8.585070610046387,8.687437057495117,8.368632316589355,8.431646347045898,8.410990715026855,187580472
2009-02-02,8.326042175292969,8.592791557312012,8.26900577545166,8.48245620727539,8.461675643920898,209056670
2009-02-03,8.532268524169922,8.54297924041748,8.314584732055664,8.479467391967773,8.458694458007812,263243015
2009-02-04,8.470002174377441,8.827911376953125,8.447586059570312,8.54297924041748,8.522050857543945,273718132
2009-02-05,8.490923881530762,8.851323127746582,8.393539428710938,8.809977531433105,8.788394927978516,291665150
2009-02-06,8.878222465515137,9.31035327911377,8.852816581726074,9.247339248657227,9.224684715270996,282579221
2009-02-09,9.247339248657227,9.489431381225586,9.148209571838379,9.433889389038086,9.410778045654297,199838246
2009-02-10,9.364399909973145,9.402257919311523,8.913839340209961,8.929281234741211,8.907405853271484,285213056
2009-02-11,8.940239906311035,9.090925216674805,8.792044639587402,8.917574882507324,8.89572811126709,210048373
2009-02-12,8.796030044555664,9.056553840637207,8.754186630249023,9.042357444763184,9.0202054977417,222844155
2009-02-13,9.020936965942383,9.040863037109375,8.847586631774902,8.908608436584473,8.886783599853516,166489714
2009-02-17,8.630400657653809,8.64484691619873,8.460537910461426,8.534510612487793,8.513603210449219,228067661
2009-02-18,8.64858341217041,8.801509857177734,8.481209754943848,8.794784545898438,8.773239135742188,241883252
2009-02-19,8.903377532958984,8.961409568786621,8.503376960754395,8.534011840820312,8.513105392456055,200295955
2009-02-20,8.41969108581543,8.690425872802734,8.34372615814209,8.628907203674316,8.607768058776855,249616129
2009-02-23,8.64260482788086,8.7123441696167,8.20798397064209,8.220686912536621,8.20054817199707,209626799
2009-02-24,8.244597434997559,8.707860946655273,8.241358757019043,8.604000091552734,8.582921981811523,244749957
2009-02-25,8.521807670593262,8.774611473083496,8.441360473632812,8.509105682373047,8.488260269165039,258529413
2009-02-26,8.61670207977295,8.779342651367188,8.397523880004883,8.398021697998047,8.377448081970215,225064447
2009-02-27,8.292667388916016,8.56340217590332,8.246838569641113,8.418196678161621,8.397574424743652,217612620
2009-03-02,8.302131652832031,8.48569393157959,8.119565963745117,8.148457527160645,8.128495216369629,232407869
2009-03-03,8.220935821533203,8.311098098754883,8.028656959533691,8.106614112854004,8.08675479888916,261970262
