account_rewards,date
5910.634544098051,2019-04-04
-1403.7116868973244,2019-04-05
-4324.297301788349,2019-04-08
1830.0734084625728,2019-04-09
-2610.9778560486156,2019-04-10
22647.719939006958,2019-04-11
-1093.0631516915746,2019-04-12
-788.9086986542679,2019-04-15
-932.8846336365677,2019-04-16
3953.26263961778,2019-04-17
648.3285953521263,2019-04-18
7198.057198333554,2019-04-22
1449.7706039429177,2019-04-23
-10047.354329681257,2019-04-24
-1077.7979019165505,2019-04-25
-350.6060966493096,2019-04-26
-885.7226425169501,2019-04-29
-3755.8975521090906,2019-04-30
-2397.330591582926,2019-05-01
5043.938144683605,2019-05-02
2598.555583572481,2019-05-03
-15752.491017150925,2019-05-06
412.73959250655025,2019-05-07
-7291.341088565998,2019-05-08
8315.622724174522,2019-05-09
-17069.18924023048,2019-05-10
5332.674654403701,2019-05-13
3458.388270461932,2019-05-14
5278.210193252657,2019-05-15
-1180.4927927514073,2019-05-16
-3019.938205718994,2019-05-17
6634.382720947266,2019-05-20
1037.7256355285645,2019-05-21
-8261.804710388184,2019-05-22
1843.1383171081543,2019-05-23
-11474.826644897461,2019-05-24
-13461.77295303333,2019-05-28
3145.47210311878,2019-05-29
-9479.203552245977,2019-05-30
-3098.8931312561035,2019-05-31
20631.565376281622,2019-06-03
7535.349071502686,2019-06-04
8990.942630767822,2019-06-05
15023.048805236816,2019-06-06
1547.798210144043,2019-06-07
1350.1844100952148,2019-06-10
2319.1924743652344,2019-06-11
2089.0498390197754,2019-06-12
-1422.844295501709,2019-06-13
-3389.761974334717,2019-06-14
9364.299522399902,2019-06-17
4812.928974151611,2019-06-18
8412.212478637695,2019-06-19
684.8064270019531,2019-06-20
-2097.9328117370605,2019-06-21
-4443.255886077881,2019-06-24
-5131.390342712402,2019-06-25
1162.5785827636719,2019-06-26
676.9497451782227,2019-06-27
3940.7684440612793,2019-06-28
5682.667217254639,2019-07-01
10241.390079498291,2019-07-02
