account_rewards,date
6197.98088016524,2019-01-03
2768.3856069564354,2019-01-04
8076.269545173738,2019-01-07
2148.917450904846,2019-01-08
8329.574204444885,2019-01-09
-747.5983471145155,2019-01-10
-7363.015448104823,2019-01-11
5811.036229415913,2019-01-14
-1569.7101700057974,2019-01-15
8404.204490592936,2019-01-16
12832.477693901048,2019-01-17
-8925.74204811093,2019-01-18
8068.624245296465,2019-01-22
-1457.7104415893555,2019-01-23
1720.028736114502,2019-01-24
-15561.65743637085,2019-01-25
-662.3629035949707,2019-01-28
116.29255676269531,2019-01-29
6389.659160614014,2019-01-30
-307.7618064880371,2019-01-31
2617.240966796875,2019-02-01
4639.9472732543945,2019-02-04
-624.4741859436035,2019-02-05
-11792.688236236572,2019-02-06
2110.1571502685547,2019-02-07
1381.9059600830078,2019-02-08
12161.038299560547,2019-02-11
3497.5917892456055,2019-02-12
-1529.3027839660645,2019-02-13
-1046.7018388441065,2019-02-14
-182.94569053628948,2019-02-15
927.2500516891014,2019-02-19
-1820.5506477353629,2019-02-20
6559.534583473229,2019-02-21
2428.718019867083,2019-02-22
-178.84185181441717,2019-02-25
2955.528564453125,2019-02-26
2293.280288696289,2019-02-27
2602.717529296875,2019-02-28
-11586.646099136211,2019-03-01
-2810.770185669069,2019-03-04
-7247.599829109153,2019-03-05
-8765.560476585408,2019-03-06
-3304.352757759043,2019-03-07
12449.048553367611,2019-03-08
3242.0336837768555,2019-03-11
6753.252967834356,2019-03-12
2029.2153053283691,2019-03-13
8713.378242492676,2019-03-14
606.856315612793,2019-03-15
-1387.4051132202148,2019-03-18
-3120.8653297424316,2019-03-19
10237.917991638184,2019-03-20
-17239.501583099365,2019-03-21
-1246.0251731872559,2019-03-22
6592.1725425720215,2019-03-25
-4806.467754364014,2019-03-26
5704.283966064453,2019-03-27
8669.065811157227,2019-03-28
9967.959621429443,2019-03-29
-6696.630451202393,2019-04-01
2800.2576751708984,2019-04-02
