account_rewards,date
-3026.945004241774,2019-07-05
-1961.4515891761985,2019-07-08
4894.966708404478,2019-07-09
11730.465137390187,2019-07-10
2089.3185418280773,2019-07-11
2242.1431831475347,2019-07-12
-3765.7195801620837,2019-07-15
-3882.1480036545545,2019-07-16
-1900.5548190039117,2019-07-17
-9722.145908241393,2019-07-18
-381.1155112532433,2019-07-19
4357.184125392931,2019-07-22
-647.4837038039695,2019-07-23
-2262.4064002113882,2019-07-24
58.15858487319201,2019-07-25
4943.67459818651,2019-07-26
-2330.9239834898617,2019-07-29
-16558.007538127946,2019-07-30
-6822.599306579446,2019-07-31
-4430.545408496866,2019-08-01
-29620.579459778033,2019-08-02
11047.783993568504,2019-08-05
-3179.1182602576446,2019-08-06
14222.032182563795,2019-08-07
-2514.830292259343,2019-08-08
-13257.966643714812,2019-08-09
14435.742234428413,2019-08-12
-30992.43386038579,2019-08-13
6410.361770374235,2019-08-14
-1046.2505027160514,2019-08-15
816.640323211439,2019-08-16
-1607.1527408447582,2019-08-19
2726.781675575068,2019-08-20
942.6201287307777,2019-08-21
-10747.623599357903,2019-08-22
3978.8095309527125,2019-08-23
-2648.622014614055,2019-08-26
4498.619189884514,2019-08-27
8139.444536620751,2019-08-28
1328.5203801421449,2019-08-29
-7446.87750073988,2019-08-30
7175.030616050353,2019-09-03
9322.991389438743,2019-09-04
280.87525500846095,2019-09-05
1619.7562015189324,2019-09-06
-733.1176913413219,2019-09-09
2080.0022342414595,2019-09-10
1624.6178212887608,2019-09-11
305.08446743758395,2019-09-12
-5146.928944511339,2019-09-13
1005.3011811105534,2019-09-16
207.32528324518353,2019-09-17
-1274.948665439617,2019-09-18
-2006.8881885830779,2019-09-19
-138.33696012129076,2019-09-20
-6059.955221320968,2019-09-23
3823.102269214578,2019-09-24
-2567.8416372411884,2019-09-25
-3627.0500987626147,2019-09-26
289.9814352148678,2019-09-27
-8889.82219105144,2019-09-30
-15619.854128253879,2019-10-01
