time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
92,50,0,1,,,,,,,,,,,,,,
91,100,1,2,,0.0005974078,0.0001494047261076048,-0.005794453979004288,0.2,-7.093566799163819,0.0,10,0.00025,0.05604273080825806,0.9995023012161255,-0.011703073978424072,,
92,150,1,3,,0.0005262792,7.03112586052157e-05,-0.002361182285356378,0.2,-7.09128999710083,0.0,20,0.00025,0.8902578800916672,0.9990817904472351,-0.005553507711738348,,
91,200,2,4,,0.00054631947,0.00028798161365557463,-0.004208381102071712,0.2,-7.088861560821533,0.0,30,0.00025,0.15385407209396362,0.9985322952270508,-0.01010385062545538,,
92,250,2,5,,0.00067578914,0.0002797295754135121,-0.0025235741221692363,0.2,-7.085439968109131,0.0,40,0.00025,0.21142083406448364,0.9976235628128052,-0.006287618540227413,,
93,300,3,6,,0.001089673,0.00023904408008093014,-0.0058863488482316486,0.2,-7.07995114326477,0.0,50,0.00025,0.12096059322357178,0.9963278770446777,-0.012899973429739475,,
94,350,3,7,,0.0020473457,0.0003232458504498936,-0.003685697947978106,0.2,-7.073571062088012,0.0,60,0.00025,-8.902328491210938,0.9952324032783508,-0.009079799987375736,,
94,400,4,8,,0.0024376928,0.0001507314696937101,-0.004627518717433077,0.2,-7.068404674530029,0.0,70,0.00025,-0.4897693395614624,0.9941481351852417,-0.011679282411932945,,
94,450,4,9,,0.0004616225,9.335393224318977e-05,0.00017892682424278661,0.2,-7.06419677734375,0.0,80,0.00025,-2.0755786895751953,0.9939136505126953,-0.002468709833920002,,
94,500,5,10,,0.001318593,5.392020866565872e-05,-0.007130873599089682,0.2,-7.064929819107055,0.0,90,0.00025,0.06743800640106201,0.9942798614501953,-0.016536958515644073,,
95,550,5,11,,0.0011070609,5.524770876945695e-05,-0.0009780723861187112,0.2,-7.066135215759277,0.0,100,0.00025,-1.7018897533416748,0.994254469871521,-0.0045485361479222775,,
95,600,6,12,,0.00027066946,2.1757360718765996e-05,-0.0012514935809889494,0.2,-7.065489673614502,0.0,110,0.00025,0.8214148283004761,0.9941545724868774,-0.006347506307065487,,
95,650,6,13,,0.0039534234,6.920475279912353e-05,-0.011774494280107461,0.2,-7.065862321853638,0.0,120,0.00025,-14.93728256225586,0.9944992065429688,-0.0262485109269619,,
95,700,7,14,,0.003059944,4.451445456652436e-05,-0.0011241200827061704,0.2,-7.069069051742554,0.003999999910593033,130,0.00025,-0.6115521192550659,0.9955077171325684,-0.00484719593077898,,
95,750,7,15,,0.004359001,4.567832620523404e-05,-0.00806994969211523,0.2,-7.073202753067017,0.007999999821186066,140,0.00025,-3.582571506500244,0.9957473874092102,-0.017217425629496574,,
95,800,8,16,,0.007551129,1.144455104622466e-05,-0.01282501909416176,0.2,-7.073086595535278,0.025999999791383743,150,0.00025,0.9009490013122559,0.9956728219985962,-0.030897079035639763,,
95,850,8,17,,0.0086248405,4.2560077235975766e-05,-0.005216098012169823,0.2,-7.073538160324096,0.025999999791383743,160,0.00025,-9.45508098602295,0.996026337146759,-0.008847808465361595,,
95,900,9,18,,0.0030376506,3.78445034584729e-05,-0.00920511707244458,0.2,-7.074943685531617,0.0,170,0.00025,0.3132774829864502,0.9959567785263062,-0.027558034285902977,,
95,950,9,19,,0.0043791817,3.477247300907038e-05,-0.0031092945602722464,0.2,-7.073393201828003,0.0019999999552965165,180,0.00025,-4.780300617218018,0.9955326914787292,-0.01606779359281063,,
95,1000,10,20,,0.0030212437,3.3833106681413486e-05,-0.002168948558857675,0.2,-7.072045564651489,0.015999999642372132,190,0.00025,0.04940629005432129,0.9955959320068359,-0.01199733093380928,,
95,1050,10,21,,0.007470721,1.3295644748723134e-05,-0.014802897684276672,0.2,-7.0730749607086185,0.029999999701976775,200,0.00025,0.5387917757034302,0.9957550168037415,-0.028991036117076874,,
95,1100,11,22,,0.0060656164,1.6955574483290548e-05,-0.004618326901691017,0.2,-7.073353242874146,0.019999999925494193,210,0.00025,0.6608916223049164,0.9957777261734009,-0.016116667538881302,,
96,1150,11,23,,0.017133906,2.922747862612596e-05,-0.020445857996121218,0.2,-7.073422050476074,0.09199999868869782,220,0.00025,-0.423450231552124,0.9957435727119446,-0.037076435983181,,
96,1200,12,24,,0.0068332637,3.380085399840027e-05,-0.00669159837812181,0.2,-7.073607158660889,0.019999999552965164,230,0.00025,-2.4875404834747314,0.9959575533866882,-0.014963597990572453,,
97,1250,12,25,,0.0068612457,1.4552716947946465e-05,-0.008302905087359137,0.2,-7.0753754615783695,0.017999999597668646,240,0.00025,0.44626837968826294,0.9963834881782532,-0.013140887953341007,,
97,1300,13,26,,0.006097814,8.349046629518852e-06,-0.006231386824278129,0.2,-7.07726731300354,0.011999999731779098,250,0.00025,0.8785644993185997,0.9967343211174011,-0.014647108502686024,,
97,1350,13,27,,0.012758956,5.9752056768047626e-05,-0.01327301823999676,0.2,-7.079522228240966,0.051999999955296514,260,0.00025,-2.2559611797332764,0.9973984956741333,-0.023649809882044792,,
97,1400,14,28,,0.00928054,4.3295581053826024e-05,-0.009938595532439365,0.2,-7.082920169830322,0.02800000011920929,270,0.00025,-6.51009464263916,0.9979330897331238,-0.02083739824593067,,
98,1450,14,29,,0.0034467948,4.7311195885413326e-05,-0.0021799045380904046,0.2,-7.084610414505005,0.0,280,0.00025,-15.699405670166016,0.9980775117874146,-0.008131321519613266,,
98,1500,15,30,,0.0010756386,5.568688284256496e-05,-0.0008882218385114271,0.2,-7.085776662826538,0.0,290,0.00025,-14.046010971069336,0.9985993504524231,-0.007051815744489431,,
98,1550,15,31,,0.0008634114,0.00010771481174742803,-0.003667251008097061,0.2,-7.088709878921509,0.0,300,0.00025,-4.505648136138916,0.999018669128418,-0.017400046810507774,,
