time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates
135,15,2048,1,,,,,,,,,,,,,
122,33,4096,2,6.753595012014557e-05,3212.0,0.00025,0.04775390625,1.0063793659210205,0.8761312440037727,-0.000198,0.024806194007396698,-0.004760780343349325,0.005992005,-9.953069022297859,0.2,10
122,50,6144,3,0.00026355427644375595,3212.0,0.00025,0.03701171875,1.0011284351348877,0.91855388879776,-0.000198,-0.014046085067093372,-0.006329373831977137,0.0054735425,-9.959191760420799,0.2,20
118,69,8192,4,0.00013398395389003782,3212.0,0.00025,0.0546875,0.9909126162528992,0.9140011072158813,-0.0001505,-0.02613682858645916,-0.00828513910237234,0.0063321246,-9.900276747345924,0.2,30
116,88,10240,5,2.714537124859362e-05,3212.0,0.00025,0.05107421875,0.989458441734314,0.8655156940221786,-0.00014733333333333333,0.008180632255971432,-0.005222656750993338,0.0055831335,-9.862638518214226,0.2,40
117,104,12288,6,4.5694332789025795e-05,3212.0,0.00025,0.035498046875,0.9853220582008362,0.924373522400856,-0.00014733333333333333,-0.003895566565915942,-0.004859234372270293,0.005394983,-9.840836918354034,0.2,50
115,123,14336,7,1.9869638069280882e-05,3212.0,0.00025,0.019189453125,0.9791384339332581,0.9385248087346554,-0.00013875,0.00033905624877661467,-0.003640127505059354,0.0047733276,-9.80337252020836,0.2,60
114,142,16384,8,2.1455695238614682e-05,3212.0,0.00025,0.029443359375,0.9796746969223022,0.8594122231006622,-0.00014160000000000003,-0.013382070697844028,-0.0049456880369689316,0.006598929,-9.783775332570077,0.2,70
116,158,18432,9,1.6712325337664424e-05,3212.0,0.00025,0.064208984375,0.9751057028770447,0.9059335589408875,-0.00014160000000000003,-0.018281057476997375,-0.008574800287897233,0.007813385,-9.766638439893722,0.2,80
115,177,20480,10,6.540435560964397e-06,3212.0,0.00025,0.047705078125,0.9704850912094116,0.9382682181894779,-0.00015283333333333335,-0.03134804591536522,-0.0067663985406397845,0.0060302755,-9.73366393148899,0.2,90
114,196,22528,11,2.1204941009500545e-05,3212.0,0.00025,0.038818359375,0.9626328349113464,0.8969536870718002,-0.00016342857142857145,-0.01014771219342947,-0.006874077976681292,0.006064642,-9.691704201698304,0.2,100
