account_rewards,date
943.0174517668784,2022-01-03
-13422.062901565456,2022-01-04
-9285.60354531859,2022-01-05
1469.6935097846435,2022-01-06
-669.0121371994028,2022-01-07
4055.7698348541744,2022-01-10
1770.6425799865974,2022-01-11
-10277.844515426666,2022-01-12
-1284.309162876103,2022-01-13
-17893.290558898938,2022-01-14
-7606.693712760927,2022-01-18
-8425.072436557733,2022-01-19
-15307.782770210295,2022-01-20
-641.9225257263752,2022-01-21
-12614.67099891277,2022-01-24
2152.6418495178223,2022-01-25
4265.420124053955,2022-01-26
11673.641784667969,2022-01-27
-979.2596408386016,2022-01-28
755.6686489105923,2022-01-31
4696.592769241543,2022-02-01
-11600.890941238496,2022-02-02
1512.6500844573602,2022-02-03
-1158.6668482017703,2022-02-04
8038.382412361214,2022-02-07
11224.50081860344,2022-02-08
-12774.522901687538,2022-02-09
-16306.985095584881,2022-02-10
-3934.7152671813965,2022-02-11
12393.507244110107,2022-02-14
-497.502498626709,2022-02-15
-20524.214279174805,2022-02-16
-6350.619911193848,2022-02-17
-6344.847873687744,2022-02-18
-13097.473705291748,2022-02-22
3662.562801361084,2022-02-23
22565.9186668396,2022-02-24
-5529.105728149414,2022-02-25
-16880.459232330322,2022-02-28
19071.486918357783,2022-03-01
-2505.2996978759766,2022-03-02
-420.6141357421875,2022-03-03
-25504.71852493286,2022-03-04
-4691.440062652575,2022-03-07
19232.19099416351,2022-03-08
477.4816789398901,2022-03-09
-6452.310876499163,2022-03-10
-2178.3961601257324,2022-03-11
18971.144660949707,2022-03-14
14675.530136108398,2022-03-15
8850.670448303223,2022-03-16
5321.285369873047,2022-03-17
-5193.066326141357,2022-03-18
6016.5716795730405,2022-03-21
-10187.491390228271,2022-03-22
9686.931255340576,2022-03-23
3972.2165298461914,2022-03-24
2682.9472732543945,2022-03-25
8893.321216583252,2022-03-28
2591.2180938720703,2022-03-29
-15792.70666885376,2022-03-30
2376.487449645996,2022-03-31
