date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-12-01,99,0,-81,0,0,-80,-44,0,-99,99,0,-20,-22,0,-59,83,2,98,0,-60,0,0,-93,-36,0,0,0,-31,1
2021-12-02,99,0,0,14,0,-37,0,0,-3,97,-37,-34,-91,0,0,-96,-44,0,-36,-2,-7,0,97,0,0,-17,-4,-9,0
2021-12-03,77,0,-5,8,0,0,-55,0,-73,0,0,-36,77,0,0,0,-32,0,-11,1,0,0,0,0,0,0,-32,0,76
2021-12-06,-99,0,0,-22,0,0,0,0,-51,-67,0,0,0,0,0,99,4,98,0,0,0,0,-73,0,61,0,-63,0,1
2021-12-07,29,31,0,53,0,46,0,0,-98,54,58,0,-88,0,0,0,-59,10,-39,73,-87,0,-41,0,-43,0,-84,58,59
2021-12-08,-98,-19,21,-31,0,-46,0,0,99,0,91,-52,91,99,0,0,-99,-71,0,99,0,0,0,0,0,0,-21,-21,-30
2021-12-09,-12,-48,-7,48,0,0,0,0,-35,-97,-33,83,-51,-99,0,-88,-99,48,0,4,45,0,83,93,38,0,0,-31,0
2021-12-10,52,-8,-14,-42,0,3,0,0,-98,86,75,-52,-44,0,0,-53,82,-17,0,2,0,0,-90,-93,0,0,96,-6,57
2021-12-13,-90,89,0,0,84,-3,68,0,-98,-99,0,-31,99,0,0,87,99,77,93,-37,-47,0,98,0,-56,18,-51,83,1
2021-12-14,-16,0,0,0,0,0,-68,0,-28,99,-65,0,-14,0,0,-96,98,0,0,0,0,60,0,0,0,-18,94,-10,0
2021-12-15,94,64,0,0,-38,0,0,93,-99,-99,-3,0,90,0,0,98,90,0,-55,-69,0,-55,0,91,0,0,1,-53,1
2021-12-16,-63,48,0,-27,-46,0,0,0,-52,-41,0,0,-99,0,82,-71,-30,91,85,-95,96,1,-68,0,0,0,1,0,0
2021-12-17,17,-20,70,55,29,44,0,-55,0,-84,-8,52,-88,6,-82,-98,-87,-79,-85,27,9,54,-10,64,0,20,-31,39,-73
2021-12-20,100,-100,81,-56,-29,100,0,-38,0,0,100,0,0,-6,0,100,100,0,-38,100,-100,0,0,0,0,0,2,100,-93
2021-12-21,-99,32,87,0,0,-64,84,0,0,-39,-72,72,90,0,0,-22,80,-35,90,97,67,83,-55,-42,0,-20,2,-67,0
2021-12-22,68,-51,54,47,35,12,45,55,0,-99,-73,-8,92,0,56,38,99,-84,3,-24,-40,-51,4,-80,0,0,35,-43,54
2021-12-23,100,-99,0,-47,-35,100,-100,-55,100,100,100,100,60,0,-56,0,0,0,-93,0,-100,0,0,-33,0,0,0,2,-54
2021-12-27,-96,67,22,25,17,76,-17,0,99,-99,-91,79,-45,0,6,-85,96,-67,0,-41,0,-12,63,58,0,99,41,76,19
2021-12-28,-99,-82,81,0,62,94,-12,0,-99,-54,10,-42,-66,0,-6,24,78,39,0,-41,1,-74,51,-58,20,-79,-20,-71,5
2021-12-29,100,0,0,-25,-79,100,0,0,100,100,8,1,1,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,-24
2021-12-30,50,90,-76,60,44,-71,0,6,-42,-62,-77,-15,-77,88,19,74,33,-96,90,-61,-13,-1,28,0,-20,87,11,-56,91
