date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,0,0,0,100,100,0,100,0,0,100,0,100,0,0,100,0,0,0,100,100,0,100,0,100,0,0,100,0,100
2021-04-07,0,0,0,100,100,0,100,0,0,100,0,100,0,0,100,0,0,0,100,100,0,100,0,100,0,0,100,0,100
2021-04-08,0,0,0,100,100,0,99,0,0,100,0,100,0,0,-99,0,0,0,100,100,0,100,0,100,0,0,100,0,100
2021-04-09,0,0,0,100,100,0,100,0,0,100,0,100,0,0,100,0,0,0,100,100,0,100,0,100,0,0,100,0,100
2021-04-12,0,0,0,100,100,0,100,0,0,100,99,100,0,0,97,0,0,0,100,100,0,100,0,100,0,0,100,0,100
2021-04-13,0,0,0,100,100,0,-99,0,0,99,-99,100,0,0,-99,0,0,0,99,97,0,99,0,100,0,0,100,0,100
2021-04-14,0,0,0,0,-3,52,1,0,0,94,0,-55,0,0,0,0,71,0,-41,63,0,0,0,-75,7,1,79,0,-30
2021-04-15,0,0,0,0,88,-52,0,69,99,-56,0,-99,0,0,-97,84,99,0,-9,-41,0,99,98,-99,-7,-1,98,1,-90
2021-04-16,1,0,0,-76,0,0,0,98,14,0,0,-99,0,0,-94,0,0,99,0,-99,99,0,99,-98,0,0,0,0,99
2021-04-19,0,0,0,-18,0,0,0,99,0,28,0,-100,0,0,-8,0,5,-94,0,0,99,0,0,0,0,0,0,0,99
2021-04-20,-1,0,0,0,0,0,-23,100,0,8,0,-99,0,0,0,0,0,-5,-26,0,99,100,2,-99,0,0,-75,0,-85
2021-04-21,0,0,0,-22,58,0,-87,0,97,0,0,0,0,0,0,0,0,0,-49,99,-68,0,98,-99,0,0,-30,1,0
2021-04-22,0,0,0,0,0,0,-29,3,0,-13,0,0,0,0,0,0,99,0,-17,0,0,-99,0,-100,66,0,0,1,99
2021-04-23,99,0,0,0,0,0,-16,1,0,0,0,-99,0,0,0,0,0,0,0,-53,0,-99,1,0,66,0,0,0,-25
2021-04-26,-86,0,0,-77,0,0,0,99,98,63,0,-49,0,0,0,-6,-32,0,-11,1,-18,95,98,99,-99,0,-72,0,100
2021-04-27,-13,0,0,0,0,0,-50,20,0,0,0,0,0,0,0,0,0,0,-38,1,0,100,0,0,0,0,-20,0,-99
2021-04-28,0,0,0,0,11,0,-28,-99,-96,99,0,0,0,0,0,-70,99,0,-40,-37,99,0,0,-99,-33,0,97,2,98
2021-04-29,0,0,0,0,0,0,-43,-97,0,94,0,0,2,0,0,-8,99,0,-49,0,0,-94,0,-30,0,0,0,0,0
2021-04-30,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-45
2021-05-03,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,99,0,-36,0,0,0,0,0,0,0,-73,0,1
2021-05-04,0,0,0,0,0,0,0,100,0,-26,0,-17,-2,0,0,0,1,0,-2,0,0,0,0,0,19,0,0,0,-96
2021-05-05,0,0,0,-1,0,-8,0,0,0,47,0,0,2,0,0,0,99,0,-19,0,0,0,0,0,-19,0,-86,0,-95
2021-05-06,0,0,0,0,0,99,0,0,0,0,0,0,0,44,0,0,0,0,-24,0,0,-99,0,0,0,0,-97,1,-68
2021-05-07,0,0,0,0,0,0,0,99,-34,54,0,0,1,0,0,0,99,0,-21,0,-99,-99,0,100,0,0,-23,0,0
2021-05-10,0,0,0,0,0,0,0,100,0,0,0,0,32,-44,0,0,2,0,0,0,-44,0,0,0,0,0,0,-6,-9
2021-05-11,0,0,0,0,0,86,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-57
2021-05-12,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,-38,0,0
2021-05-13,0,0,95,0,0,-89,0,-99,0,0,0,99,95,0,0,0,0,0,0,0,-99,99,79,-100,0,0,-62,0,0
2021-05-14,0,0,-83,0,0,-85,0,100,-25,0,0,0,0,1,0,0,0,0,0,0,99,48,0,-1,0,0,-92,0,0
2021-05-17,0,0,-12,0,0,0,0,-95,-33,87,0,0,0,-1,0,0,0,0,0,-42,0,-77,2,0,0,0,-97,0,99
2021-05-18,0,0,0,80,0,-80,16,100,-61,-80,0,100,99,0,0,0,82,0,97,-82,-99,-99,99,0,0,0,91,0,0
2021-05-19,0,0,0,0,0,0,0,0,-38,0,0,-99,97,2,0,0,0,0,0,0,99,-99,0,0,0,0,0,0,100
2021-05-20,0,0,0,0,0,0,1,99,-21,-97,0,-99,0,-2,0,0,0,0,0,-69,0,24,0,99,99,0,0,0,-99
2021-05-21,0,0,0,0,0,0,0,0,0,-12,0,100,99,0,0,0,0,0,-1,-98,71,-96,0,99,-99,0,-58,0,3
2021-05-24,0,0,0,0,0,0,0,100,0,-78,0,37,-17,3,0,0,0,0,0,-78,0,-21,99,99,0,0,-81,0,-99
2021-05-25,0,0,0,0,0,99,0,-96,0,0,0,-99,99,-3,0,0,3,0,-53,0,23,-89,99,-38,0,0,-61,0,99
2021-05-26,0,0,0,0,0,63,0,100,0,-59,0,-39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,-5
2021-05-27,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,99,0,0,-61,0,12,0,-99,99,0,1,0,-99
2021-05-28,99,0,0,0,0,-62,0,-99,0,0,0,0,-99,0,0,0,2,0,0,0,0,-59,53,-99,99,0,99,0,-97
2021-06-01,-99,0,0,0,0,0,1,-99,0,0,0,100,-99,0,0,0,0,0,0,-64,0,-17,0,0,66,0,-99,0,-78
2021-06-02,0,0,0,0,0,100,0,3,0,0,0,-99,-44,0,0,0,0,0,-3,0,0,0,0,-61,43,0,-91,0,0
2021-06-03,0,0,0,0,0,-100,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,99
2021-06-04,0,0,0,0,0,100,0,0,0,99,0,-1,0,0,0,0,48,0,-22,0,-20,-81,0,0,-99,0,-9,0,-96
2021-06-07,99,0,0,38,0,-99,0,-11,0,0,0,0,99,99,0,0,98,0,-90,0,-1,95,82,0,-99,0,99,0,99
2021-06-08,-99,0,0,37,-60,-1,-31,1,0,95,0,0,99,-36,0,0,99,0,-88,0,84,-95,96,0,-100,0,-83,0,85
2021-06-09,99,0,0,0,-21,0,0,-98,0,0,0,0,0,-63,0,0,0,0,99,0,-37,0,0,0,-9,0,60,0,0
2021-06-10,0,0,0,0,-26,45,0,1,0,0,0,0,0,0,0,0,1,0,-13,0,0,0,0,0,0,0,-76,0,0
2021-06-11,99,0,0,0,0,-45,0,99,0,-92,0,0,43,0,0,0,0,0,99,-37,-43,0,0,99,0,0,0,0,0
2021-06-14,99,0,0,0,-56,0,0,-55,0,-72,0,0,0,0,0,0,98,0,0,0,-44,0,99,-99,84,0,99,0,1
2021-06-15,99,0,0,0,0,0,0,67,0,-2,0,99,0,0,0,0,1,0,0,0,0,0,0,0,-84,0,-99,0,-58
2021-06-16,99,0,0,0,-1,0,0,0,0,-97,0,100,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0
2021-06-17,0,0,0,0,-9,71,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99
2021-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-88
2021-06-21,-84,78,0,0,0,0,0,1,0,99,0,-61,-80,0,0,0,99,0,-94,0,0,0,0,-1,0,0,0,-89,-99
2021-06-22,0,0,0,0,-42,0,0,95,0,-99,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,-96,0,0,0,0,-31,0,99,0,0,0,0,13,0,0,0,99,0,0,0,0,0,0,0,0,0,2,99,0
2021-06-24,-90,92,0,0,0,-40,92,98,0,-63,0,-99,99,0,0,0,-43,0,0,0,47,0,94,0,0,0,-2,-97,2
2021-06-25,-100,0,0,0,0,0,0,99,0,0,0,-39,67,0,0,0,0,0,-6,0,0,0,0,0,0,0,99,-2,0
2021-06-28,0,0,0,0,0,0,0,99,0,0,0,18,-24,3,0,0,0,0,-42,0,0,0,0,0,0,0,-12,0,-79
2021-06-29,0,0,0,0,-5,0,0,0,99,-99,0,100,-22,9,0,0,-99,0,0,0,0,0,0,0,0,0,99,0,0
2021-06-30,-88,0,0,0,-3,0,0,99,0,-43,98,-100,0,-12,0,0,99,0,99,0,1,0,0,0,0,0,-99,0,-97
2021-07-01,-37,37,0,0,0,0,1,98,-99,-82,-63,100,99,0,0,99,94,0,0,0,0,0,1,0,0,0,-87,0,95
