account_value,date,daily_return
916081.4529818456,2022-04-04,
906839.6599060704,2022-04-05,-0.010088396665703825
898418.749431278,2022-04-06,-0.009285997125075829
902885.648609348,2022-04-07,0.0049719567639228135
901472.4447924268,2022-04-08,-0.0015652079741192981
885105.0850206983,2022-04-11,-0.018156250772032534
884176.9900347363,2022-04-12,-0.0010485703920006806
896558.4362627637,2022-04-13,0.014003357209670053
892857.9751803052,2022-04-14,-0.004127406460959326
890627.3203875195,2022-04-18,-0.0024983310389709024
900620.1488939893,2022-04-19,0.011219988740208242
905871.8934771192,2022-04-20,0.005831253708435513
895061.0621706616,2022-04-21,-0.011934172352959238
874485.940252937,2022-04-22,-0.02298739470112432
879608.9452044141,2022-04-25,0.0058583045371720655
855470.8015658032,2022-04-26,-0.02744190332557539
855034.9688860547,2022-04-27,-0.0005094652896987517
871991.4247728955,2022-04-28,0.019831301062378515
846746.9206682813,2022-04-29,-0.028950404083605497
851287.0170961987,2022-05-02,0.005361810379344911
851994.1749025952,2022-05-03,0.0008306925774677065
874144.8227831494,2022-05-04,0.0259985907568987
848369.2173372876,2022-05-05,-0.029486653440097044
846931.7523104321,2022-05-06,-0.0016943861204289368
820565.370558418,2022-05-09,-0.031131648660103428
822593.5269457471,2022-05-10,0.0024716572988559005
812100.1419436109,2022-05-11,-0.012756464351351915
806305.1865679395,2022-05-12,-0.0071357645152015925
821030.7741076123,2022-05-13,0.018263044545642426
824154.0905672681,2022-05-16,0.003804140548873569
840662.1384874951,2022-05-17,0.020030293010939948
839821.4983317639,2022-05-18,-0.0009999738506645262
837032.9244048382,2022-05-19,-0.0033204364647307916
836866.2603110577,2022-05-20,-0.00019911294875174512
840313.4817446973,2022-05-23,0.004119202311201331
839515.6632705,2022-05-24,-0.0009494295778056383
842895.2158648756,2022-05-25,0.004025598023043253
853272.8158839489,2022-05-26,0.01231185065918905
869842.3186999738,2022-05-27,0.01941876326958769
868129.9661420666,2022-05-31,-0.001968578121683384
862038.3254761731,2022-06-01,-0.007016968545579094
872469.0154807202,2022-06-02,0.012100030469974099
863301.1039368397,2022-06-03,-0.010508008171303485
863311.9470879323,2022-06-06,1.2560103355596652e-05
871069.4492775685,2022-06-07,0.008985746364107872
864747.7616249806,2022-06-08,-0.007257386489482376
843230.2367150075,2022-06-09,-0.02488300735180715
825024.5027825123,2022-06-10,-0.021590466209347126
798828.7262017018,2022-06-13,-0.031751513430766654
797541.9455200917,2022-06-14,-0.0016108342619681748
806665.1353585011,2022-06-15,0.011439134818746144
785949.9529778248,2022-06-16,-0.02568002690666671
789956.0471894032,2022-06-17,0.005097136524278678
804038.1742150075,2022-06-21,0.017826469049395
801268.6707093007,2022-06-22,-0.0034444925558548833
803183.0438477284,2022-06-23,0.00238917757352608
824957.5119759327,2022-06-24,0.027110218890941118
822872.0937096364,2022-06-27,-0.002527909905688852
811844.8548714406,2022-06-28,-0.013400914823205712
810815.3137223012,2022-06-29,-0.001268150118784006
805855.6438881642,2022-06-30,-0.006116892158052667
815242.4517189747,2022-07-01,0.011648249785185083
811426.4911362416,2022-07-05,-0.004680767757722859
