time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,rollout/ep_len_mean,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/approx_kl
28,71,2048,1,,,,,,,,,,,,,
63,64,4096,2,10,0.8952660635113716,0.2,0.00025,0.00014465141251776003,3513.0,-10.015754082798958,1.010037899017334,76.71658740197309,0.96083984375,-5.3e-05,0.09764716029167175,6.431177
94,65,6144,3,20,0.9241612926125526,0.2,0.00025,0.00034623465271579337,3513.0,-9.910472694039345,0.9859250783920288,0.11185994539118838,0.972802734375,-5.3e-05,-0.1049155667424202,62.25972
128,63,8192,4,30,0.9441297054290771,0.2,0.00025,0.00013628475367113423,3513.0,-9.757584407925606,0.9652700424194336,0.7672307790155173,0.95302734375,-5.2000000000000004e-05,0.02429729327559471,39.358955
161,63,10240,5,40,0.9169485867023468,0.2,0.00025,0.00016196546570199644,3513.0,-9.671482667326927,0.9618258476257324,-0.04379720931174234,0.97587890625,-5.2000000000000004e-05,0.2687177062034607,171.26114
195,62,12288,6,50,0.9060812667012215,0.2,0.00025,9.63193910422433e-05,3513.0,-9.59076393842697,0.945785403251648,0.21276502036052988,0.962109375,-7.3e-05,-0.04820633307099342,245.10345
230,62,14336,7,60,0.7652601450681686,0.2,0.00025,5.579038179632789e-05,3513.0,-9.537071844935417,0.9373806118965149,60.343949299643285,0.95234375,-6.825e-05,0.020928705111145973,459.55423
260,62,16384,8,70,0.9267301335930824,0.2,0.00025,5.6176747364133917e-05,3513.0,-9.442443326115608,0.9234746098518372,0.08522719633765519,0.9765625,-6.825e-05,0.7815564274787903,1138.9989
293,62,18432,9,80,0.9505636356770992,0.2,0.00025,1.286864120260134e-05,3513.0,-9.432080098986626,0.9226128458976746,9.91286789458536,0.966748046875,-7.340000000000001e-05,0.010210404172539711,63.42612
324,63,20480,10,90,0.9307517930865288,0.2,0.00025,2.9501890159622236e-05,3513.0,-9.359095004200935,0.9228195548057556,-0.019806603125471157,0.992822265625,-7.340000000000001e-05,-0.0675581693649292,41739.086
358,62,22528,11,100,0.9216131344437599,0.2,0.00025,2.4821276986131126e-05,3513.0,-9.4366868942976,0.937028706073761,0.03871089747262886,0.962255859375,-7.833333333333334e-05,-0.045275311917066574,63.44523
390,62,24576,12,110,0.8906259462237358,0.2,0.00025,1.2462161240733849e-05,3513.0,-9.482039007544518,0.9262195229530334,0.7933696660242276,0.961669921875,-7.833333333333334e-05,0.08284924179315567,26.803598
423,62,26624,13,120,0.9082276374101639,0.2,0.00025,8.905017043545627e-05,3513.0,-9.418260043859481,0.9299660921096802,0.517810444519273,0.9716796875,-7.414285714285715e-05,0.16843557357788086,30.435253
462,62,28672,14,130,0.916211724281311,0.2,0.00025,2.0488311198718634e-06,3513.0,-9.481008034944534,0.9361782670021057,3.04519775272347,0.965625,-7.562500000000001e-05,0.27904003858566284,10.411108
492,62,30720,15,140,0.9146203324198723,0.2,0.00025,1.3622363748311273e-05,3513.0,-9.465286418795586,0.9369338750839233,0.22833245279689435,0.98759765625,-7.562500000000001e-05,0.009420907124876976,136.2261
526,62,32768,16,150,0.9249178022146225,0.2,0.00025,4.849627647729449e-06,3513.0,-9.46281282901764,0.9290724992752075,0.7316383898549248,0.96240234375,-7.511111111111112e-05,0.0864698588848114,35.773125
557,62,34816,17,160,0.8700068444013596,0.2,0.00025,2.4313964293298795e-05,3513.0,-9.44354048371315,0.9336317181587219,0.08292902355024126,0.959423828125,-7.511111111111112e-05,-0.02556973323225975,36.612343
592,62,36864,18,170,0.800218015909195,0.2,0.00025,0.0001169793584885781,3513.0,-9.463662931323052,0.9342021942138672,0.8615901295561343,0.959716796875,-6.98e-05,0.1196766048669815,49.70334
626,62,38912,19,180,0.7804550379514694,0.2,0.00025,2.069212455424463e-06,3513.0,-9.583247527480125,0.9538230895996094,9.301008763164281,0.984521484375,-7.072727272727273e-05,0.19762475788593292,11.3860035
657,62,40960,20,190,0.8280783742666245,0.2,0.00025,5.455501765538884e-06,3513.0,-9.646424359083175,0.9662843942642212,0.2657941660610959,0.983984375,-7.072727272727273e-05,0.1315837800502777,23.941166
691,62,43008,21,200,0.809526339173317,0.2,0.00025,1.128031345931646e-06,3513.0,-9.686350485682487,0.96519535779953,0.8035797624848783,0.985986328125,-7.000000000000001e-05,0.23165906965732574,8.849518
721,62,45056,22,210,0.8085843175649643,0.2,0.00025,2.4916753666559543e-05,3513.0,-9.741533243656159,0.9790149927139282,0.3080534729757346,0.9662109375,-7.000000000000001e-05,0.23772269487380981,14.6428385
