time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
26624,92,13,288,3.549104503406397e-05,0.00025,-0.000178,-0.019526772790413816,120,3212.0,0.019668942,0.072119140625,0.3,0.9963874220848083,0.5249104201793671,-9.912217995524406,-0.025426318868994713
28672,92,14,309,5.132346140044319e-05,0.00025,-0.000178,-0.016011736467044103,130,3212.0,0.018482417,0.066748046875,0.3,0.9938592910766602,0.763183981180191,-9.891100388765334,-0.048894234001636505
30720,92,15,333,3.6699536195783367e-05,0.00025,-0.00017544444444444443,-0.014775893050682498,140,3212.0,0.0157207,0.04541015625,0.3,0.9876235723495483,0.418210506439209,-9.860140889883041,-0.030633240938186646
32768,91,16,356,3.782448239348923e-05,0.00025,-0.00017289999999999997,-0.021524009745917283,150,3212.0,0.017092478,0.072216796875,0.3,0.9892938733100891,0.5337035357952118,-9.843971794843673,-0.02383096143603325
34816,92,17,377,3.5406853623953796e-05,0.00025,-0.00017289999999999997,-0.01807465324527584,160,3212.0,0.01916251,0.06328125,0.3,0.9877763390541077,0.5686989426612854,-9.845199152827263,-0.03054055944085121
36864,91,18,400,2.292880705567768e-05,0.00025,-0.00017863636363636362,-0.015848952567466768,170,3212.0,0.017090099,0.064599609375,0.3,0.9853339791297913,-0.035808444023132324,-9.8319668084383,-0.02333143912255764
38912,91,19,424,2.8594869530707e-05,0.00025,-0.00017616666666666662,-0.017215271241730078,180,3212.0,0.017746085,0.05703125,0.3,0.9842454195022583,0.3659399151802063,-9.82027522623539,0.021625148132443428
40960,92,20,445,2.9046192770465497e-05,0.00025,-0.00017616666666666662,-0.01888494292652467,190,3212.0,0.019678958,0.071337890625,0.3,0.9864791035652161,0.11940246820449829,-9.823264545202255,-0.029200511053204536
43008,91,21,468,2.351156857400838e-05,0.00025,-0.00017561538461538458,-0.017885313532315195,200,3212.0,0.017062392,0.0634765625,0.3,0.9826973080635071,-0.778549313545227,-9.817780616879464,-0.021728402003645897
45056,91,22,491,2.1824553232363542e-05,0.00025,-0.00017428571428571425,-0.023557863420865032,210,3212.0,0.021209436,0.08564453125,0.3,0.982097327709198,0.023431062698364258,-9.797299551963807,-0.054392680525779724
47104,91,23,512,2.4974359311613627e-05,0.00025,-0.00017428571428571425,-0.020058264466933907,220,3212.0,0.01623141,0.0810546875,0.3,0.9725952744483948,-0.5761364698410034,-9.762725830078125,0.0029620893765240908
49152,91,24,536,1.4847402934492492e-05,0.00025,-0.00016906666666666664,-0.02038976143085165,230,3212.0,0.01894278,0.06611328125,0.3,0.969835102558136,-0.6093906164169312,-9.717629417777061,-0.03323706239461899
51200,91,25,557,1.8561531265959275e-05,0.00025,-0.00016906666666666664,-0.015114079129125458,240,3212.0,0.017715303,0.069921875,0.3,0.9713115096092224,-0.4521472454071045,-9.712970274686814,-0.008274679072201252
53248,91,26,581,1.8880932185538767e-05,0.00025,-0.0001680625,-0.018806487296387786,250,3212.0,0.019378092,0.064892578125,0.3,0.9678872227668762,-1.3254404067993164,-9.700695022940636,-0.003789059352129698
55296,91,27,604,1.3913372265506041e-05,0.00025,-0.0001661764705882353,-0.016027387142821682,260,3212.0,0.018031567,0.05634765625,0.3,0.9621645212173462,-0.5471500158309937,-9.671627858281136,-0.05116839334368706
57344,91,28,625,1.6768909028996858e-05,0.00025,-0.0001661764705882353,-0.015615409618476406,270,3212.0,0.019521419,0.0640625,0.3,0.9616597890853882,-0.5888417959213257,-9.652070760726929,-0.03761749714612961
